runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
904911.eric.priegopastor,Eric PRIEGO PASTOR,32:29:25,278,Espagne,ES,,20-34,H
1311435.arnaud.grosjean,Arnaud GROSJEAN,32:44:30,278,France,FR,,35-39,H
4908533.andrew.dorais,Andrew DORAIS,32:29:36,279,Etats-Unis,US,,40-44,H
537819.shannon.howell,Shannon HOWELL,32:45:11,279,Etats-Unis,US,,45-49,F
2402265.francois.decamps,François DECAMPS,32:31:09,279,Belgique,BE,,20-34,H
469697.leire.martinez,Leire MARTINEZ,32:47:00,280,Espagne,ES,,45-49,F
2076723.aaron.smith,Aaron SMITH,32:29:49,280,Australie,AU,,20-34,H
1548843.yuki.takeuchi,Yuki TAKEUCHI,32:31:24,281,Japon,JP,,40-44,H
8924.benoit.thiery,Benoit THIERY,32:47:13,281,France,FR,,40-44,H
2459277.jack.watson,Jack WATSON,32:30:12,281,Etats-Unis,US,,40-44,H
964229.jeff.zenger,Jeff ZENGER,32:31:38,282,Etats-Unis,US,,20-34,H
2194265.michal.matous,Michal MATOUS,32:48:07,282,République tchèque,CZ,,20-34,H
4511674.andrey.vyrvich,Andrey VYRVICH,32:30:41,282,Etats-Unis,US,,40-44,H
2050769.rok.cokan,Rok COKAN,32:31:45,283,Slovénie,SI,,35-39,H
1407883.bentley.regehr,Bentley REGEHR,32:48:48,283,Canada,CA,,20-34,H
4517713.fernando.riera,Fernando RIERA,32:31:45,283,Espagne,ES,,40-44,H
2126375.joachim.cassel,Joachim CASSEL,32:32:14,284,Royaume-Uni,GB,,20-34,H
936155.tomas.nordlof,Tomas NORDLOF,32:48:51,284,Suède,SE,,35-39,H
766643.thierry.lamarque,Thierry LAMARQUE,32:37:09,284,Maurice,MU,,40-44,H
1064365.christian.leduc,Christian LEDUC,32:39:22,285,Canada,CA,,50-54,H
2565309.ulrich.hendel,Ulrich HENDEL,32:49:10,285,Allemagne,DE,,40-44,H
2387219.naoki.tanaka,Naoki TANAKA,32:33:11,285,Japon,JP,,45-49,H
654051.joseph.rozan,Joseph ROZAN,32:49:13,286,France,FR,,40-44,H
841259.alexandre.pereira,Alexandre PEREIRA,32:33:21,286,Portugal,PT,,35-39,H
1278091.nicolas.leroux,Nicolas LE ROUX,32:42:01,286,France,FR,,40-44,H
1040657.guillaume.grima,Guillaume GRIMA,32:33:38,287,France,FR,,20-34,H
493810.christopher.harrington,Christopher HARRINGTON,32:49:14,287,Etats-Unis,US,,35-39,H
32959.emmanuel.labrid,Emmanuel LABRID,32:33:41,288,France,FR,,50-54,H
1115417.sergii.khrapko,Sergii KHRAPKO,32:50:45,288,Ukraine,UA,,40-44,H
3522735.brice.douet,Brice DOUET,32:44:49,288,France,FR,,20-34,H
1242013.robertgregory.moore,Robert Gregory MOORE,32:46:23,289,Etats-Unis,US,,45-49,H
411997.ivan.gantesdediego,Ivan GANTES-DE DIEGO,32:51:10,289,Espagne,ES,,40-44,H
2034311.evanne.blanchard,Evanne BLANCHARD,32:33:45,289,France,FR,,20-34,F
1539855.ronan.pain,Ronan PAIN,32:50:54,290,France,FR,,20-34,H
2099479.gabin.guedon,Gabin GUEDON,32:50:54,290,France,FR,,20-34,H
3083433.dusan.zabrodsky,Dusan ZABRODSKY,32:35:12,290,République tchèque,CZ,,45-49,H
3223697.anthony.fauvi,Anthony FAUVI,32:51:25,290,France,FR,,20-34,H
1413689.stephane.cuche,Stéphane CUCHE,32:35:45,291,France,FR,,40-44,H
1355767.matti.piittinen,Matti PIITTINEN,32:52:12,291,Suède,SE,,40-44,H
473761.michael.andre,Michaël ANDRE,32:51:46,292,France,FR,,45-49,H
1453723.ramunas.grumbinas,Ramunas GRUMBINAS,32:52:27,292,Lituanie,LT,,50-54,H
2014149.frederic.lalo,Frederic LALO,32:35:48,292,France,FR,,50-54,H
941273.clement.ollive,Clement OLLIVE,32:52:34,293,France,FR,,35-39,H
1458199.didier.carels,Didier CARELS,32:52:13,293,Belgique,BE,,40-44,H
335987.julien.damesin,Julien DAMESIN,32:39:04,293,France,FR,,45-49,H
1885385.adriano.ferreira,Adriano FERREIRA,32:57:19,294,Portugal,PT,,35-39,H
685956.adam.swanson,Adam SWANSON,32:52:35,294,Royaume-Uni,GB,,45-49,H
4121612.daniel.squires,Daniel SQUIRES,32:39:59,294,Australie,AU,,20-34,H
716553.omar.drismaanan,Omar DRIS-MAANAN,32:53:34,295,Espagne,ES,,45-49,H
107257.dawid.studencki,Dawid STUDENCKI,32:40:18,295,Pologne,PL,,35-39,H
468192.chiara.bertino,Chiara BERTINO,32:58:16,295,Italie,IT,,50-54,F
116570.damien.cornuau,Damien CORNUAU,32:55:36,296,France,FR,,45-49,H
885131.luca.gheza,Luca GHEZA,32:58:30,296,Italie,IT,,35-39,H
606904.agusti.janinigonzalez,Agusti JANINI GONZALEZ,32:40:41,296,Espagne,ES,,45-49,H
695257.masato.tanaka,Masato TANAKA,33:00:27,297,Japon,JP,,55-59,H
84620.david.redier,David REDIER,33:02:36,297,France,FR,,40-44,H
4196120.lindsey.dwyer,Lindsey DWYER,32:41:43,298,Etats-Unis,US,,20-34,F
1812971.andrew.connor,Andrew CONNOR,33:01:04,298,Royaume-Uni,GB,,45-49,H
4351966.jerome.thollet,Jérome THOLLET,33:04:38,298,France,FR,,45-49,H
3843729.kyle.imhoff,Kyle IMHOFF,33:06:11,299,Etats-Unis,US,,20-34,H
1036675.anna.stahlkloo,Anna STÅHLKLOO,32:43:22,299,Suède,SE,,45-49,F
206552.marc.jacquand,Marc JACQUAND,33:02:06,299,France,FR,,40-44,H
701729.paul.rambaud,Paul RAMBAUD,33:02:48,300,France,FR,,40-44,H
4164810.dana.morris,Dana MORRIS,32:43:25,300,Etats-Unis,US,,40-44,H
2060605.loic.boujon,Loic BOUJON,33:09:14,300,France,FR,,20-34,H
3776871.agustin.terruzzi,Agustin TERRUZZI,32:43:28,301,Argentine,AR,,35-39,H
1296601.geoffrey.tweed,Geoffrey TWEED,33:06:42,301,Etats-Unis,US,,35-39,H
456336.dustin.sandquist,Dustin SANDQUIST,33:06:42,301,Etats-Unis,US,,35-39,H
749736.senne.deschouwer,Senne DE SCHOUWER,33:09:52,301,Belgique,BE,,35-39,H
1716837.xavier.angot,Xavier ANGOT,33:11:26,302,France,FR,,35-39,H
1688069.yves.delaunay,Yves DE LAUNAY,32:44:15,302,France,FR,,45-49,H
315924.stephane.cheylan,Stephane CHEYLAN,32:45:03,303,France,FR,,50-54,H
4103819.angie.yan,Angie YAN,33:12:56,303,"Hong Kong, Chine",HK,,20-34,F
3048657.martin.lethsonne,Martin LETH-SONNE,33:08:58,303,Danemark,DK,,40-44,H
993701.pawel.wisniewski,Paweł WISNIEWSKI,33:14:08,304,Pologne,PL,,40-44,H
1020229.anthony.beke,Anthony BEKE,32:45:27,304,France,FR,,20-34,H
2154411.fabiola.arevalogarcia,Fabiola AREVALO GARCIA,33:09:45,304,Espagne,ES,,45-49,F
945835.alberto.brignone,Alberto BRIGNONE,32:45:43,305,Italie,IT,,35-39,H
1397363.bjorn.syse,Bjorn SYSE,33:14:43,305,Etats-Unis,US,,20-34,H
3984484.pieter.deneve,Pieter DE NEVE,33:11:42,306,Belgique,BE,,40-44,H
2312403.matthew.dermody,Matthew DERMODY,33:15:30,306,Canada,CA,,40-44,H
438476.matej.gjurkovic,Matej GJURKOVIC,32:45:55,306,Croatie,HR,,35-39,H
638628.philippe.lencioni,Philippe LENCIONI,32:48:29,307,France,FR,,40-44,H
3450765.charles.tidball,Charles TIDBALL,33:11:59,307,Royaume-Uni,GB,,40-44,H
1003319.nathaniel.orders,Nathaniel ORDERS,33:15:39,308,Etats-Unis,US,,45-49,H
278721.craig.dinnett,Craig DINNETT,33:12:44,308,Royaume-Uni,GB,,35-39,H
471766.hyunchang.chung,Hyun Chang CHUNG,32:49:29,308,Corée du Sud,KR,,50-54,H
1476293.katarzyna.zych,Katarzyna ZYCH,33:15:41,309,Pologne,PL,,40-44,F
1190035.juancarlos.ceballos,Juan Carlos CEBALLOS,33:15:29,309,Colombie,CO,,35-39,H
877261.philippe.gourdain,Philippe GOURDAIN,32:50:04,309,France,FR,,40-44,H
2459221.conor.callahan,Conor CALLAHAN,32:51:41,310,Etats-Unis,US,,20-34,H
940835.nicolas.lenocher,Nicolas LE NOCHER,33:15:49,310,France,FR,,35-39,H
3132275.ryan.maize,Ryan MAIZE,33:16:09,310,Etats-Unis,US,,20-34,H
538305.vincent.herault,Vincent HERAULT,33:15:49,310,France,FR,,50-54,H
140022.cyril.monteyremard,Cyril MONTEYREMARD,32:51:44,311,France,FR,,40-44,H
1852703.michal.vomocil,Michal VOMOCIL,33:17:03,311,République tchèque,CZ,,45-49,H
970433.christophe.bobo,Christophe BOBO,32:52:18,312,France,FR,,40-44,H
150053.howard.norton,Howard NORTON,33:20:40,312,Australie,AU,,60-64,H
639909.michael.bouyer,Michael BOUYER,33:17:30,312,France,FR,,40-44,H
713044.luce.leal,Luce LEAL,32:53:55,313,France,FR,,35-39,F
2111153.yannick.bernard,Yannick BERNARD,33:17:54,313,Canada,CA,,35-39,H
159625.julien.cazelles,Julien CAZELLES,33:20:42,313,France,FR,,40-44,H
2025801.louis.feutrie,Louis FEUTRIE,33:18:57,314,France,FR,,20-34,H
1547997.maggy.bouisse,Maggy BOUISSE,33:21:24,314,France,FR,,50-54,F
4338420.gwendal.bourges,Gwendal BOURGES,32:54:44,314,France,FR,,40-44,H
777452.richard.antrobus,Richard ANTROBUS,33:23:16,315,Royaume-Uni,GB,,35-39,H
3205961.ralf.goad,Ralf GOAD,33:19:37,315,Royaume-Uni,GB,,40-44,H
4805100.charlotte.lomas,Charlotte LOMAS,32:55:03,315,Australie,AU,,20-34,F
2656417.jeremy.favriot,Jérémy FAVRIOT,32:55:38,316,France,FR,,40-44,H
475860.alexander.beckmann,Alexander BECKMANN,33:19:43,316,Allemagne,DE,,35-39,H
772485.takashi.yamamoto,Takashi YAMAMOTO,33:23:36,316,Japon,JP,,35-39,H
592145.martin.mignot,Martin MIGNOT,33:25:05,317,France,FR,,45-49,H
2212255.julien.dessauvages,Julien DESSAUVAGES,33:20:54,317,France,FR,,40-44,H
