runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
28282.xavier.thevenard,Xavier THEVENARD,20:34:57,1,France,FR,,20-34,H
12281.miguel.heras,Miguel HERAS,20:54:08,2,Espagne,ES,,35-39,H
124448.javier.dominguezledo,Javier DOMINGUEZ LEDO,21:17:38,3,Espagne,ES,,35-39,H
2709.tim.olson,Tim OLSON,21:38:23,4,Etats-Unis,US,,20-34,H
2751.mike.foote,Mike FOOTE,21:53:19,5,Etats-Unis,US,,20-34,H
6598.julien.chorier,Julien CHORIER,22:08:11,6,France,FR,,20-34,H
2171.rory.bosio,Rory BOSIO,22:37:26,7,Etats-Unis,US,,20-34,F
9.bertrand.collombpatton,Bertrand COLLOMB PATTON,23:14:16,8,France,FR,,35-39,H
7.arnaud.lejeune,Arnaud LEJEUNE,23:18:05,9,France,FR,,20-34,H
2190.john.tidd,John TIDD,23:18:27,10,Espagne,ES,,50-54,H
2707.jez.bragg,Jez BRAGG,23:50:01,11,Royaume-Uni,GB,,20-34,H
11454.ronan.moalic,Ronan MOALIC,23:54:04,12,France,FR,,40-44,H
154877.aite.tamang,Aite TAMANG,23:57:22,13,Népal,NP,,20-34,H
24650.stephane.brogniart,Stephane BROGNIART,24:02:11,14,France,FR,,35-39,H
144434.johan.johansson,Johan JOHANSSON,24:05:33,15,Suède,SE,,20-34,H
25194.alexandre.mayer,Alexandre MAYER,24:05:34,16,France,FR,,20-34,H
51165.andrew.james,Andrew JAMES,24:14:37,17,Royaume-Uni,GB,,35-39,H
29869.siukeung.tsang,Siu Keung TSANG,24:15:58,18,"Hong Kong, Chine",HK,,35-39,H
11759.nuria.picas,Nuria PICAS,24:32:20,19,Espagne,ES,,35-39,F
75930.eoin.keith,Eoin KEITH,24:44:12,20,Irlande,IE,,45-49,H
31623.emma.roca,Emma ROCA,24:48:14,21,Espagne,ES,,40-44,F
156294.gonzalo.calisto,Gonzalo CALISTO,25:18:26,22,Equateur,EC,,20-34,H
63404.daniel.horst,Daniel HORST,25:23:37,23,Allemagne,DE,,20-34,H
2478.frederic.jouband,Frederic JOUBAND,25:25:05,24,France,FR,,40-44,H
12682.aitor.iraizoz,Aitor IRAIZOZ,25:28:26,25,Espagne,ES,,20-34,H
37642.jeanlou.habemont,Jean-Lou HABEMONT,25:34:28,26,France,FR,,20-34,H
2770.david.kadunc,David KADUNC,25:35:39,27,Slovénie,SI,,20-34,H
106677.francisco.saezmarques,Francisco SAEZ-MARQUES,25:40:27,28,Espagne,ES,,20-34,H
48327.gael.droz,Gael DROZ,25:47:12,29,Suisse,CH,,20-34,H
106875.francesc.sole,Francesc SOLE,25:59:30,30,Espagne,ES,,20-34,H
6602.herve.giraudsauveur,Herve GIRAUD-SAUVEUR,26:07:15,31,France,FR,,45-49,H
11465.ludovic.dilmi,Ludovic DILMI,26:22:55,32,France,FR,,45-49,H
162665.martin.saenz,Martin SAENZ,26:26:46,33,Equateur,EC,,20-34,H
29991.jean.burnet,Jean BURNET,26:27:33,34,France,FR,,20-34,H
125810.joaomiguel.colaco,Joao-Miguel COLACO,26:33:03,35,Portugal,PT,,35-39,H
57873.andrew.tuckey,Andrew TUCKEY,26:33:59,36,Australie,AU,,35-39,H
171539.florian.grasel,Florian GRASEL,26:37:18,37,Autriche,AT,,20-34,H
31610.antonio.calderon,Antonio CALDERON,26:37:29,38,Espagne,ES,,35-39,H
33406.jeanhugo.hoarau,Jean-Hugo HOARAU,26:40:06,39,France,FR,,20-34,H
154216.daniel.ablanedorodriguez,Daniel ABLANEDO RODRIGUEZ,26:46:17,40,Espagne,ES,,35-39,H
19962.nicolas.cointepas,Nicolas COINTEPAS,26:46:35,41,France,FR,,40-44,H
27888.bruno.durand,Bruno DURAND,26:49:57,42,France,FR,,45-49,H
685931.thomas.adams,Thomas ADAMS,26:49:57,42,Royaume-Uni,GB,,35-39,H
