runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
8908.francois.dhaene,Francois D HAENE,19:01:54,1.0,France,FR,,20-34,H
2704.kilian.jornetburgada,Kilian JORNET BURGADA,19:16:59,2.0,Espagne,ES,,20-34,H
529591.timo.tollefson,Timo TOLLEFSON,19:53:00,3.0,Etats-Unis,US,,20-34,H
28282.xavier.thevenard,Xavier THEVENARD,20:03:39,4.0,France,FR,,20-34,H
485740.jim.walmsley,Jim WALMSLEY,20:11:38,5.0,Etats-Unis,US,,20-34,H
381419.pau.capell,Pau CAPELL,20:12:43,6.0,Espagne,ES,,20-34,H
14392.dylan.bowman,Dylan BOWMAN,20:19:48,7.0,Etats-Unis,US,,20-34,H
136586.gediminas.grinius,Gediminas GRINIUS,21:24:19,8.0,Lituanie,LT,,35-39,H
369191.zach.miller,Zach MILLER,21:28:32,9.0,Etats-Unis,US,,20-34,H
257533.jordi.gamitobaus,Jordi GAMITO BAUS,21:44:31,10.0,Espagne,ES,,35-39,H
171215.scott.hawker,Scott HAWKER,21:55:47,11.0,Nouvelle-Zélande,NZ,,20-34,H
384634.damian.hall,Damian HALL,22:00:32,12.0,Royaume-Uni,GB,,40-44,H
310361.didrik.hermansen,Didrik HERMANSEN,22:12:18,13.0,Norvège,NO,,35-39,H
185010.david.laney,David LANEY,22:20:22,14.0,Etats-Unis,US,,20-34,H
29.mikael.pasero,Mikael PASERO,22:28:34,15.0,France,FR,,20-34,H
5960.andy.symonds,Andy SYMONDS,22:36:32,16.0,Royaume-Uni,GB,,35-39,H
6598.julien.chorier,Julien CHORIER,22:42:13,17.0,France,FR,,35-39,H
419942.luis.fernandes,Luis FERNANDES,22:49:07,18.0,Portugal,PT,,20-34,H
44240.benjamin.david,Benjamin DAVID,22:51:04,19.0,France,FR,,20-34,H
17439.jeff.browning,Jeff BROWNING,22:55:52,20.0,Etats-Unis,US,,45-49,H
57599.giulio.ornati,Giulio ORNATI,23:08:34,21.0,Italie,IT,,20-34,H
125196.juanjose.larrotcha,Juan Jose LARROTCHA,23:27:25,22.0,Espagne,ES,,45-49,H
124735.victor.bernadblasco,Victor BERNAD BLASCO,23:30:51,23.0,Espagne,ES,,40-44,H
12625.leonardo.diogo,Leonardo DIOGO,23:31:23,24.0,Portugal,PT,,50-54,H
396154.takashi.doi,Takashi DOI,23:36:47,25.0,Japon,JP,,35-39,H
171539.florian.grasel,Florian GRASEL,23:42:45,26.0,Autriche,AT,,35-39,H
438818.francisco.freitas,Francisco FREITAS,23:44:56,27.0,Portugal,PT,,40-44,H
676095.hallvard.schjolberg,Hallvard SCHJOLBERG,23:48:15,28.0,Norvège,NO,,40-44,H
482522.alberto.vinagre,Alberto VINAGRE,23:50:15,29.0,Espagne,ES,,20-34,H
126206.vicentetito.parrahernandez,Vicente-Tito PARRA HERNANDEZ,24:12:38,30.0,Espagne,ES,,35-39,H
4482095.jeanfrancois.cauchon,Jean-François CAUCHON,24:18:57,31.0,Canada,CA,,20-34,H
45232.danny.kendall,Danny KENDALL,24:23:10,32.0,Royaume-Uni,GB,,35-39,H
44726.anthony.gay,Anthony GAY,24:29:58,33.0,France,FR,,20-34,H
29763.andrew.skurka,Andrew SKURKA,24:44:07,34.0,Etats-Unis,US,,35-39,H
394036.roman.evarts,Roman EVARTS,24:58:48,35.0,Lettonie,LV,,35-39,H
124734.alvaro.rodriguezbarreiro,Alvaro RODRIGUEZ-BARREIRO,25:18:35,36.0,Espagne,ES,,45-49,H
8519.stephane.philippe,Stephane PHILIPPE,25:24:01,37.0,France,FR,,40-44,H
296056.ivano.molin,Ivano MOLIN,25:34:19,38.0,Italie,IT,,40-44,H
124992.sergioluis.tejeromadrigal,Sergio Luís TEJERO MADRIGAL,25:36:48,39.0,Espagne,ES,,40-44,H
