runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
8288.vincent.delebarre,Vincent DELEBARRE,21:06:18,1,France,FR,,35-39,H
20151.dawadachhiri.sherpa,Dawa-Dachhiri SHERPA,23:02:28,2,Népal,NP,,35-39,H
20154.jeanclaude.pache,Jean-Claude PACHE,23:40:08,3,Suisse,CH,,35-39,H
30004.lionel.favrefelix,Lionel FAVRE-FELIX,23:50:36,4,France,FR,,20-34,H
17.csaba.nemeth,Csaba NEMETH,23:54:09,5,Hongrie,HU,,35-39,H
40205.michel.cercueil,Michel CERCUEIL,24:46:26,6,France,FR,,20-34,H
10400.philippe.verdier,Philippe VERDIER,24:46:28,7,France,FR,,40-44,H
13104.christian.fatton,Christian FATTON,25:20:30,8,Suisse,CH,,45-49,H
11658.werner.schweizer,Werner SCHWEIZER,25:24:22,9,Suisse,CH,,65-69,H
65393.jeanlouis.techer,Jean-Louis TECHER,25:36:29,10,Afghanistan,AF,,40-44,H
77359.ondrej.gondas,Ondrej GONDAS,25:58:10,11,Slovaquie,SK,,50-54,H
76502.john.stamstad,John STAMSTAD,25:59:08,12,Etats-Unis,US,,35-39,H
10277.pierre.ceaglio,Pierre CEAGLIO,26:03:16,13,France,FR,,20-34,H
20058.colette.borcard,Colette BORCARD,26:08:54,14,Suisse,CH,,40-44,F
29988.jeanclaude.letellier,Jean-Claude LETELLIER,26:31:31,15,France,FR,,20-34,H
7867.labib.mokhtari,Labib MOKHTARI,26:36:38,16,France,FR,,45-49,H
4671.tim.twietmeyer,Tim TWIETMEYER,26:42:10,17,Etats-Unis,US,,45-49,H
24932.eric.bonnotte,Eric BONNOTTE,27:01:09,18,France,FR,,35-39,H
78012.jeanclaude.eclapier,Jean-Claude ECLAPIER,27:07:06,19,France,FR,,40-44,H
43693.dominique.eclapier,Dominique ECLAPIER,27:07:07,20,France,FR,,45-49,H
14506.mark.hartell,Mark HARTELL,27:10:26,21,Royaume-Uni,GB,,40-44,H
27888.bruno.durand,Bruno DURAND,27:11:36,22,France,FR,,35-39,H
21210.matteo.bertoli,Matteo BERTOLI,27:12:11,23,Italie,IT,,35-39,H
42521.luc.bouday,Luc BOUDAY,27:53:21,24,France,FR,,50-54,H
11460.matthieu.girard,Matthieu GIRARD,27:53:23,25,Suisse,CH,,20-34,H
33409.abdel.amarbenkadour,Abdel AMAR BEN KADOUR,28:05:15,26,France,FR,,45-49,H
76665.philippe.gannac,Philippe GANNAC,28:11:56,27,France,FR,,35-39,H
78013.bruno.crozet,Bruno CROZET,28:12:51,28,France,FR,,45-49,H
77360.jeanpierre.ernzen,Jean-Pierre ERNZEN,28:18:26,29,Luxembourg,LU,,35-39,H
19589.adrian.brennwald,Adrian BRENNWALD,28:18:58,30,Suisse,CH,,20-34,H
40206.guillaume.millet,Guillaume MILLET,28:35:23,31,France,FR,,35-39,H
11496.patrick.leservoisier,Patrick LESERVOISIER,28:35:30,32,France,FR,,40-44,H
70353.georg.weiss,Georg WEISS,28:54:16,33,Allemagne,DE,,40-44,H
30325.francois.trecourt,Francois TRECOURT,29:34:50,34,France,FR,,45-49,H
76525.daniel.martin,Daniel MARTIN,29:39:41,35,France,FR,,40-44,H
28348.gregory.haye,Gregory HAYE,29:44:06,36,France,FR,,20-34,H
78014.pascal.schornoz,Pascal SCHORNOZ,29:44:49,37,Suisse,CH,,40-44,H
41602.alain.denaix,Alain DENAIX,30:08:07,38,France,FR,,45-49,H
41867.didier.delemontez,Didier DELEMONTEZ,30:08:10,39,France,FR,,45-49,H
28579.gilles.rubiloni,Gilles RUBILONI,30:12:10,40,France,FR,,40-44,H
78015.gilles.greffier,Gilles GREFFIER,30:15:59,41,France,FR,,35-39,H
41486.bruno.poirier,Bruno POIRIER,30:16:02,42,France,FR,,40-44,H
23922.jeanhugues.vos,Jean-Hugues VOS,30:18:32,43,France,FR,,20-34,H
10420.didier.sessegolo,Didier SESSEGOLO,30:26:05,44,France,FR,,40-44,H
7064.daniel.bauer,Daniel BAUER,30:27:46,45,France,FR,,35-39,H
78016.thierry.plet,Thierry PLET,30:28:02,46,France,FR,,40-44,H
66302.guido.kunze,Guido KUNZE,30:28:28,47,Allemagne,DE,,35-39,H
8295.laurent.tissot,Laurent TISSOT,30:29:00,48,France,FR,,35-39,H
48818.silvio.bertone,Silvio BERTONE,30:29:01,49,Italie,IT,,35-39,H
78017.gilles.letessier,Gilles LETESSIER,30:29:31,50,France,FR,,50-54,H
28631.joel.merker,Joel MERKER,30:35:20,51,France,FR,,20-34,H
19048.ernesto.sicurelli,Ernesto SICURELLI,30:50:28,52,Suisse,CH,,55-59,H
11511.claude.mottard,Claude MOTTARD,30:50:49,53,France,FR,,20-34,H
46933.bernd.schweinberger,Bernd SCHWEINBERGER,31:02:12,54,Allemagne,DE,,35-39,H
78018.thomas.schmadalla,Thomas SCHMADALLA,31:03:20,55,Allemagne,DE,,40-44,H
19263.tamas.karlowitsjuhasz,Tamas KARLOWITS-JUHASZ,31:04:01,56,Hongrie,HU,,20-34,H
78019.laszlo.homonnai,Laszlo HOMONNAI,31:04:03,57,Hongrie,HU,,80+,H
