runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
20151.dawadachhiri.sherpa,Dawa-Dachhiri SHERPA,20:05:59,1,Népal,NP,,20-34,H
3796.topher.gaylord,Topher GAYLORD,22:15:18,2,Etats-Unis,US,,20-34,H
29237.brandon.sybrowsky,Brandon SYBROWSKY,22:15:18,2,Etats-Unis,US,,20-34,H
70898.giselher.schneider,Giselher SCHNEIDER,23:37:18,4,Allemagne,DE,,40-44,H
11658.werner.schweizer,Werner SCHWEIZER,24:18:37,5,Suisse,CH,,60-64,H
41610.daniel.boebion,Daniel BOEBION,24:51:43,6,France,FR,,55-59,H
77359.ondrej.gondas,Ondrej GONDAS,24:51:43,6,Slovaquie,SK,,50-54,H
10684.fabien.hoblea,Fabien HOBLEA,24:53:44,8,France,FR,,35-39,H
78136.regis.coumenges,Regis COUMENGES,25:33:42,9,France,FR,,20-34,H
65393.jeanlouis.techer,Jean-Louis TECHER,26:32:08,10,Afghanistan,AF,,35-39,H
30004.lionel.favrefelix,Lionel FAVRE-FELIX,26:35:55,11,France,FR,,20-34,H
24932.eric.bonnotte,Eric BONNOTTE,27:26:28,12,France,FR,,35-39,H
10732.jeanluc.pigeault,Jean-Luc PIGEAULT,27:26:28,13,France,FR,,40-44,H
42521.luc.bouday,Luc BOUDAY,27:44:06,14,France,FR,,50-54,H
27974.jerome.leseurre,Jerome LESEURRE,27:45:13,15,France,FR,,20-34,H
78137.roland.vuillemenot,Roland VUILLEMENOT,28:18:55,16,France,FR,,55-59,H
20189.michel.poletti,Michel POLETTI,28:31:03,17,France,FR,,45-49,H
48818.silvio.bertone,Silvio BERTONE,28:31:03,18,Italie,IT,,35-39,H
41867.didier.delemontez,Didier DELEMONTEZ,29:02:08,19,France,FR,,45-49,H
78138.eric.cordier,Eric CORDIER,29:15:54,20,France,FR,,40-44,H
48763.patrick.deschamps,Patrick DESCHAMPS,29:15:54,21,France,FR,,50-54,H
78139.bernard.antoine,Bernard ANTOINE,29:15:54,22,France,FR,,40-44,H
78140.rex.stickland,Rex STICKLAND,29:27:19,23,Royaume-Uni,GB,,55-59,H
14509.krissy.moehl,Krissy MOEHL,29:38:24,24,Etats-Unis,US,,20-34,F
42841.bruno.saulet,Bruno SAULET,29:40:19,25,France,FR,,20-34,H
78141.fabrice.delaunay,Fabrice DELAUNAY,30:47:12,26,France,FR,,20-34,H
70353.georg.weiss,Georg WEISS,30:59:19,27,Allemagne,DE,,40-44,H
78048.gery.laly,Gery LALY,31:14:50,28,France,FR,,35-39,H
19917.josep.artigas,Josep ARTIGAS,31:31:53,29,Espagne,ES,,40-44,H
12863.edwin.lenaerts,Edwin LENAERTS,31:31:53,30,Belgique,BE,,35-39,H
7064.daniel.bauer,Daniel BAUER,32:13:01,31,France,FR,,35-39,H
78056.daniel.groslambert,Daniel GROSLAMBERT,32:13:01,32,France,FR,,40-44,H
78142.annemarie.baisleroux,Anne-Marie BAIS-LE ROUX,32:19:37,33,France,FR,,45-49,F
78143.michel.schrameck,Michel SCHRAMECK,32:44:56,34,France,FR,,20-34,H
77572.andrew.addis,Andrew ADDIS,32:48:47,35,Royaume-Uni,GB,,45-49,H
41389.bruno.ringeval,Bruno RINGEVAL,32:56:52,36,France,FR,,40-44,H
41576.monique.gauthier,Monique GAUTHIER,33:03:56,37,France,FR,,45-49,F
21025.valentino.mattone,Valentino MATTONE,33:03:56,38,Italie,IT,,50-54,H
78144.marielaure.cabello,Marie-Laure CABELLO,33:45:15,39,France,FR,,45-49,F
11496.patrick.leservoisier,Patrick LESERVOISIER,34:10:26,40,France,FR,,35-39,H
74966.pascal.laperrousaz,Pascal LAPERROUSAZ,34:17:05,41,France,FR,,45-49,H
38705.michel.courtiade,Michel COURTIADE,34:17:22,42,France,FR,,40-44,H
78064.gastone.barichello,Gastone BARICHELLO,34:19:22,43,Italie,IT,,40-44,H
78145.yann.moysan,Yann MOYSAN,34:22:48,44,France,FR,,20-34,H
61937.thomas.wolterroessler,Thomas WOLTER-ROESSLER,34:22:53,45,Allemagne,DE,,20-34,H
19918.ludwig.brunner,Ludwig BRUNNER,34:25:08,46,Italie,IT,,40-44,H
19058.martina.juda,Martina JUDA,34:25:08,47,République tchèque,CZ,,20-34,F
78146.hubert.marbach,Hubert MARBACH,34:29:28,48,France,FR,,55-59,H
19908.jeanclaude.marmier,Jean-Claude MARMIER,34:45:13,49,France,FR,,60-64,H
42799.eric.martin,Eric MARTIN,34:46:33,50,France,FR,,20-34,H
33382.roger.warenghem,Roger WARENGHEM,34:46:34,51,France,FR,,45-49,H
78147.michel.kayser,Michel KAYSER,34:51:30,52,France,FR,,45-49,H
41856.jeanfrancois.hudry,Jean-Francois HUDRY,34:52:43,53,France,FR,,40-44,H
76087.frederic.weinmann,Frederic WEINMANN,35:11:47,54,France,FR,,55-59,H
12849.lionel.planes,Lionel PLANES,35:45:50,55,France,FR,,20-34,H
7015.jeanyves.even,Jean-Yves EVEN,35:45:50,56,France,FR,,40-44,H
78148.martin.micol,Martin MICOL,35:45:50,57,France,FR,,20-34,H
78149.roberto.bordini,Roberto BORDINI,35:56:40,58,Italie,IT,,55-59,H
77702.serge.monnier,Serge MONNIER,36:11:02,59,France,FR,,35-39,H
78150.francis.abraham,Francis ABRAHAM,36:27:06,60,Etats-Unis,US,,55-59,H
