runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
2704.kilian.jornetburgada,Kilian JORNET BURGADA,20:36:43,1,Espagne,ES,,20-34,H
7208.iker.karrera,Iker KARRERA,20:45:30,2,Espagne,ES,,35-39,H
12616.sebastien.chaigneau,Sebastien CHAIGNEAU,20:55:41,3,France,FR,,35-39,H
17.csaba.nemeth,Csaba NEMETH,22:35:48,4,Hongrie,HU,,40-44,H
13637.carlos.sa,Carlos SA,22:48:24,5,Portugal,PT,,35-39,H
2474.patrick.bohard,Patrick BOHARD,23:31:55,6,France,FR,,45-49,H
2708.tsuyoshi.kaburaki,Tsuyoshi KABURAKI,23:41:04,7,Japon,JP,,40-44,H
6953.antoine.guillon,Antoine GUILLON,23:56:50,8,France,FR,,40-44,H
110187.francois.faivre,Francois FAIVRE,24:07:03,9,France,FR,,20-34,H
36428.kenichi.yamamoto,Kenichi YAMAMOTO,24:15:40,10,Japon,JP,,20-34,H
2751.mike.foote,Mike FOOTE,24:25:12,11,Etats-Unis,US,,20-34,H
11752.matthias.dippacher,Matthias DIPPACHER,24:38:23,12,Allemagne,DE,,20-34,H
12828.elizabeth.hawker,Elizabeth HAWKER,25:02:00,13,Royaume-Uni,GB,,35-39,F
17705.nicholas.pedatella,Nicholas PEDATELLA,25:51:33,14,Etats-Unis,US,,20-34,H
40205.michel.cercueil,Michel CERCUEIL,26:19:25,15,France,FR,,35-39,H
75927.eneko.aurrekoetxeauriarte,Eneko AURREKOETXEA-URIARTE,26:23:32,16,Espagne,ES,,20-34,H
24239.bastien.bravais,Bastien BRAVAIS,26:34:55,17,France,FR,,20-34,H
2190.john.tidd,John TIDD,26:35:05,18,Espagne,ES,,45-49,H
9851.frederic.cantin,Frederic CANTIN,26:44:38,19,France,FR,,35-39,H
73306.joao.goncalves,Joao GONCALVES,26:59:47,20,Portugal,PT,,35-39,H
10.stephane.sarda,Stephane SARDA,27:28:06,21,France,FR,,35-39,H
14400.jack.pilla,Jack PILLA,27:35:26,22,Etats-Unis,US,,50-54,H
20047.jeanclaude.mathieu,Jean-Claude MATHIEU,27:47:20,23,France,FR,,45-49,H
8924.benoit.thiery,Benoit THIERY,27:47:20,23,France,FR,,20-34,H
12831.nerea.martinezurruzola,Nerea MARTINEZ-URRUZOLA,27:55:34,25,Espagne,ES,,35-39,F
2705.mike.wolfe,Mike WOLFE,28:01:47,26,Etats-Unis,US,,20-34,H
24417.remy.marcel,Remy MARCEL,28:20:44,27,France,FR,,20-34,H
44212.chris.near,Chris NEAR,28:25:46,28,Royaume-Uni,GB,,35-39,H
8140.mathieu.siraudin,Mathieu SIRAUDIN,28:26:55,29,France,FR,,20-34,H
75928.krzysztof.dolegowski,Krzysztof DOLEGOWSKI,28:27:41,30,Pologne,PL,,20-34,H
75929.darcy.piceuafrica,Darcy PICEU AFRICA,28:30:28,31,Etats-Unis,US,,35-39,F
19256.marco.zanchi,Marco ZANCHI,28:37:14,32,Italie,IT,,35-39,H
24567.serge.locatelli,Serge LOCATELLI,28:38:20,33,France,FR,,40-44,H
75930.eoin.keith,Eoin KEITH,28:54:50,34,Irlande,IE,,40-44,H
12296.raul.frechillatoledo,Raul FRECHILLA-TOLEDO,29:00:10,35,Espagne,ES,,35-39,H
20065.daniel.biollaz,Daniel BIOLLAZ,29:00:11,36,France,FR,,40-44,H
6291.frederic.souchon,Frederic SOUCHON,29:04:07,37,France,FR,,40-44,H
20964.sergio.vallosio,Sergio VALLOSIO,29:12:43,38,Italie,IT,,35-39,H
17693.fabrice.hardel,Fabrice HARDEL,29:14:35,39,France,FR,,35-39,H
2749.scott.jaime,Scott JAIME,29:17:13,40,Etats-Unis,US,,40-44,H
,Anonymous,29:20:55,41,Italie,IT,,40-44,H
75931.albert.ginecid,Albert GINE-CID,29:25:28,42,Espagne,ES,,20-34,H
12641.denise.zimmermann,Denise ZIMMERMANN,29:26:39,43,Suisse,CH,,35-39,F
51239.alan.lucker,Alan LUCKER,29:29:06,44,Royaume-Uni,GB,,35-39,H
19963.philippe.carrard,Philippe CARRARD,29:30:48,45,Suisse,CH,,35-39,H
75932.benoit.poupinet,Benoit POUPINET,29:30:48,45,France,FR,,40-44,H
51170.richard.cunningham,Richard CUNNINGHAM,29:46:11,47,Royaume-Uni,GB,,40-44,H
21277.alessandro.montani,Alessandro MONTANI,30:03:09,48,Italie,IT,,35-39,H
19261.giuseppe.marazzi,Giuseppe MARAZZI,30:17:51,49,Italie,IT,,35-39,H
5988.maud.gobert,Maud GOBERT,30:20:59,50,France,FR,,20-34,F
2742.helen.cospolich,Helen COSPOLICH,30:27:37,51,Etats-Unis,US,,20-34,F
7850.thierry.tutzo,Thierry TUTZO,30:36:22,52,France,FR,,45-49,H
30616.katia.fori,Katia FORI,30:38:44,53,Italie,IT,,35-39,F
19600.gianluca.broseghini,Gianluca BROSEGHINI,30:38:52,54,Italie,IT,,35-39,H
34655.fabio.granzotto,Fabio GRANZOTTO,30:42:41,55,Italie,IT,,20-34,H
20963.enrico.camarda,Enrico CAMARDA,30:42:58,56,Italie,IT,,35-39,H
20066.adrien.schluchter,Adrien SCHLUCHTER,30:49:29,57,Suisse,CH,,55-59,H
70530.alois.leitner,Alois LEITNER,30:52:50,58,Autriche,AT,,45-49,H
7216.patrick.delikat,Patrick DELIKAT,30:54:31,59,France,FR,,40-44,H
28126.christophe.laurent,Christophe LAURENT,31:01:29,60,France,FR,,40-44,H
11127.franck.dorne,Franck DORNE,31:07:40,61,France,FR,,45-49,H
