runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
41149.christophe.jaquerod,Christophe JAQUEROD,21:11:07,1,Suisse,CH,,35-39,H
8288.vincent.delebarre,Vincent DELEBARRE,21:25:02,2,France,FR,,35-39,H
12293.marco.olmo,Marco OLMO,21:49:57,3,Italie,IT,,55-59,H
6953.antoine.guillon,Antoine GUILLON,23:45:24,4,France,FR,,35-39,H
40206.guillaume.millet,Guillaume MILLET,23:45:24,4,France,FR,,35-39,H
3796.topher.gaylord,Topher GAYLORD,24:13:47,6,Etats-Unis,US,,35-39,H
77684.francois.quinio,Francois QUINIO,24:16:37,7,France,FR,,20-34,H
23774.eddy.myrtal,Eddy MYRTAL,24:19:24,8,France,FR,,35-39,H
21210.matteo.bertoli,Matteo BERTOLI,24:29:19,9,Italie,IT,,35-39,H
77360.jeanpierre.ernzen,Jean-Pierre ERNZEN,24:43:39,10,Luxembourg,LU,,40-44,H
11658.werner.schweizer,Werner SCHWEIZER,24:50:58,11,Suisse,CH,,65-69,H
7475.patrick.bruni,Patrick BRUNI,24:57:34,12,France,FR,,35-39,H
17275.hiroki.ishikawa,Hiroki ISHIKAWA,25:13:04,13,Japon,JP,,20-34,H
40230.stephane.grivel,Stephane GRIVEL,25:17:39,14,France,FR,,20-34,H
65393.jeanlouis.techer,Jean-Louis TECHER,25:26:54,15,Afghanistan,AF,,40-44,H
40205.michel.cercueil,Michel CERCUEIL,25:29:41,16,France,FR,,20-34,H
77685.frederic.mandra,Frederic MANDRA,25:32:51,17,France,FR,,35-39,H
76946.frederic.durin,Frederic DURIN,26:12:49,18,France,FR,,40-44,H
30325.francois.trecourt,Francois TRECOURT,26:21:05,19,France,FR,,45-49,H
295937.janick.juchereau,Janick JUCHEREAU,26:21:05,20,France,FR,,45-49,H
30484.claudio.cheraz,Claudio CHERAZ,26:47:51,21,Italie,IT,,40-44,H
28579.gilles.rubiloni,Gilles RUBILONI,26:47:51,22,France,FR,,40-44,H
19883.vincent.staub,Vincent STAUB,26:50:24,23,Suisse,CH,,20-34,H
41595.franck.barbier,Franck BARBIER,26:53:51,24,France,FR,,35-39,H
12828.elizabeth.hawker,Elizabeth HAWKER,26:53:51,25,Royaume-Uni,GB,,20-34,F
43726.michel.chifflot,Michel CHIFFLOT,26:55:56,26,France,FR,,35-39,H
10695.jeanmarie.mathian,Jean-Marie MATHIAN,27:11:04,27,France,FR,,40-44,H
41520.simone.kayserdiederich,Simone KAYSER-DIEDERICH,27:13:19,28,Luxembourg,LU,,50-54,F
41519.marc.kayser,Marc KAYSER,27:13:19,29,Luxembourg,LU,,50-54,H
8128.nicolas.darmaillacq,Nicolas DARMAILLACQ,27:16:09,30,France,FR,,20-34,H
19889.pierreandre.maillard,Pierre-Andre MAILLARD,27:28:12,31,Suisse,CH,,40-44,H
