runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
8908.francois.dhaene,Francois D HAENE,20:45:59,1.0,France,FR,,35-39,H
11045.aurelien.dunandpallaz,Aurelien DUNAND PALLAZ,20:58:31,2.0,France,FR,,20-34,H
1064397.mathieu.blanchard,Mathieu BLANCHARD,21:12:43,3.0,France,FR,,20-34,H
7829.ludovic.pommeret,Ludovic POMMERET,21:38:44,4.0,France,FR,,45-49,H
481015.germain.grangier,Germain GRANGIER,21:52:47,5.0,France,FR,,20-34,H
1008473.hannes.namberger,Hannes NAMBERGER,22:22:06,6.0,Allemagne,DE,,20-34,H
30959.courtney.dauwalter,Courtney DAUWALTER,22:30:54,7.0,Etats-Unis,US,,35-39,F
246588.gregoire.curmer,Gregoire CURMER,23:00:10,8.0,France,FR,,20-34,H
42923.diego.pazos,Diego PAZOS,23:00:10,8.0,Suisse,CH,,35-39,H
764508.mathieu.clement,Mathieu CLEMENT,23:08:05,10.0,Suisse,CH,,20-34,H
264825.hochung.wong,Ho Chung WONG,23:17:40,11.0,"Hong Kong, Chine",HK,,20-34,H
1312055.yannick.noel,Yannick NOEL,23:42:28,12.0,France,FR,,35-39,H
57599.giulio.ornati,Giulio ORNATI,23:45:41,13.0,Italie,IT,,35-39,H
498817.aleksei.tolstenko,Aleksei TOLSTENKO,23:56:20,14.0,Russie,RU,,35-39,H
326858.jon.aizpuru,Jon AIZPURU,23:57:07,15.0,Espagne,ES,,20-34,H
388952.camille.bruyas,Camille BRUYAS,24:09:42,16.0,France,FR,,20-34,F
10648.vincent.viet,Vincent VIET,24:16:25,17.0,France,FR,,35-39,H
448424.ugo.ferrari,Ugo FERRARI,24:34:36,18.0,France,FR,,20-34,H
410406.benjamin.bublak,Benjamin BUBLAK,24:37:06,19.0,Allemagne,DE,,20-34,H
124448.javier.dominguezledo,Javier DOMINGUEZ LEDO,24:39:18,20.0,Espagne,ES,,45-49,H
8931.rene.rovera,Rene ROVERA,24:49:02,21.0,France,FR,,50-54,H
406411.bruno.sousa,Bruno SOUSA,24:54:19,22.0,Portugal,PT,,35-39,H
10237.mimmi.kotka,Mimmi KOTKA,25:08:29,23.0,Suède,SE,,40-44,F
1410357.nicolas.cerisier,Nicolas CERISIER,25:09:31,24.0,France,FR,,35-39,H
196119.jeremy.laby,Jeremy LABY,25:12:33,25.0,France,FR,,20-34,H
127572.clement.helier,Clement HELIER,25:17:54,26.0,France,FR,,35-39,H
1279251.samir.tazi,Samir TAZI,25:17:55,27.0,France,FR,,35-39,H
573565.cedric.golea,Cédric GOLEA,25:24:10,28.0,France,FR,,40-44,H
9844.regis.durand,Regis DURAND,25:34:37,29.0,France,FR,,40-44,H
439342.perelluis.garaumairata,Pere Lluis GARAU MAIRATA,25:39:18,30.0,Espagne,ES,,45-49,H
4102735.tomas.stverak,Tomáš STVERAK,25:50:27,31.0,République tchèque,CZ,,20-34,H
539006.jeremie.marin,Jérémie MARIN,25:51:36,32.0,France,FR,,20-34,H
385957.marion.delespierremauppin,Marion DELESPIERRE MAUPPIN,25:54:33,33.0,France,FR,,20-34,F
318020.luke.jay,Luke JAY,25:54:39,34.0,Etats-Unis,US,,40-44,H
78379.stephen.roux,Stephen ROUX,25:59:45,35.0,France,FR,,20-34,H
48257.luzia.buehler,Luzia BUEHLER,26:06:17,36.0,Suisse,CH,,35-39,F
352073.marc.bernadesolle,Marc BERNADES OLLÉ,26:08:56,37.0,Espagne,ES,,20-34,H
701911.thibaut.lecuru,Thibaut LECURU,26:19:09,38.0,France,FR,,35-39,H
718061.joseantonio.rodriguezfernandez,José Antonio RODRIGUEZ FERNANDEZ,26:21:23,39.0,Espagne,ES,,35-39,H
478017.martin.perrier,Martin PERRIER,26:37:46,40.0,France,FR,,20-34,H
479169.andre.purschke,Andre PURSCHKE,26:40:26,41.0,Allemagne,DE,,35-39,H
1039833.maryline.nakache,Maryline NAKACHE,26:40:48,42.0,France,FR,,35-39,F
758585.alexandre.boucheix,Alexandre BOUCHEIX,26:42:04,43.0,France,FR,,20-34,H
538272.lucie.jamsin,Lucie JAMSIN,26:44:41,44.0,France,FR,,20-34,F
187124.maxime.grenot,Maxime GRENOT,26:45:08,45.0,France,FR,,20-34,H
415485.robert.hajnal,Robert HAJNAL,26:51:20,46.0,Roumanie,RO,,20-34,H
199196.maxime.poligne,Maxime POLIGNE,27:05:30,47.0,France,FR,,20-34,H
159598.jerome.mirassou,Jérôme MIRASSOU,27:21:49,48.0,France,FR,,35-39,H
723966.gines.arroyomoreno,Ginés ARROYO MORENO,27:25:41,49.0,Espagne,ES,,40-44,H
310257.louis.frack,Louis FRACK,27:29:55,50.0,France,FR,,20-34,H
1608045.nicolas.sondaz,Nicolas SONDAZ,27:38:33,51.0,France,FR,,45-49,H
671487.katie.schide,Katie SCHIDE,27:39:45,52.0,Etats-Unis,US,,20-34,F
1002327.sam.shepherd,Sam SHEPHERD,27:41:20,53.0,Royaume-Uni,GB,,35-39,H
552800.huguesmarie.decouesnongle,Hugues-Marie DE COUESNONGLE,27:42:09,54.0,France,FR,,35-39,H
42648.ludovic.bourgeois,Ludovic BOURGEOIS,27:43:39,55.0,France,FR,,35-39,H
2440527.benjamin.hall,Benjamin HALL,27:46:36,56.0,Australie,AU,,40-44,H
271033.kai.langel,Kai LANGEL,27:49:25,57.0,Finlande,FI,,45-49,H
1315857.zdenek.hruska,Zdeněk HRUSKA,27:53:26,58.0,République tchèque,CZ,,20-34,H
797482.claudia.tremps,Claudia TREMPS,27:55:36,59.0,Espagne,ES,,20-34,F
75930.eoin.keith,Eoin KEITH,28:04:11,60.0,Irlande,IE,,50-54,H
880371.marco.gubert,Marco GUBERT,28:07:42,61.0,Italie,IT,,20-34,H
584996.stuart.mcconnachie,Stuart MCCONNACHIE,28:09:20,62.0,Afrique du Sud,ZA,,40-44,H
841740.julien.olivarcalvo,Julien OLIVAR CALVO,28:09:39,63.0,France,FR,,35-39,H
