runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
2704.kilian.jornetburgada,Kilian JORNET BURGADA,20:56:59,1,Espagne,ES,,20-34,H
20151.dawadachhiri.sherpa,Dawa-Dachhiri SHERPA,21:56:52,2,Népal,NP,,35-39,H
6598.julien.chorier,Julien CHORIER,22:31:35,3,France,FR,,20-34,H
2708.tsuyoshi.kaburaki,Tsuyoshi KABURAKI,23:10:47,4,Japon,JP,,40-44,H
76658.jesusmaria.romonmartinez,Jesus-Maria ROMON-MARTINEZ,23:41:28,5,Espagne,ES,,20-34,H
6953.antoine.guillon,Antoine GUILLON,23:57:28,6,France,FR,,35-39,H
11460.matthieu.girard,Matthieu GIRARD,24:19:57,7,Suisse,CH,,35-39,H
17.csaba.nemeth,Csaba NEMETH,24:21:02,8,Hongrie,HU,,40-44,H
11760.ulrich.calmbach,Ulrich CALMBACH,24:21:20,9,Allemagne,DE,,45-49,H
30601.massimo.tagliaferri,Massimo TAGLIAFERRI,24:24:22,10,Italie,IT,,35-39,H
3796.topher.gaylord,Topher GAYLORD,24:55:31,11,Etats-Unis,US,,35-39,H
48540.ulrich.gross,Ulrich GROSS,25:06:04,12,Italie,IT,,35-39,H
11753.salvador.calvoredondo,Salvador CALVO-REDONDO,25:08:05,13,Espagne,ES,,45-49,H
12828.elizabeth.hawker,Elizabeth HAWKER,25:19:41,14,Royaume-Uni,GB,,20-34,F
76659.aurelio.olivarroldan,Aurelio OLIVAR-ROLDAN,25:22:39,15,Espagne,ES,,40-44,H
11456.jerome.challier,Jerome CHALLIER,25:37:10,16,France,FR,,35-39,H
51946.andrew.rankin,Andrew RANKIN,25:37:10,17,Royaume-Uni,GB,,35-39,H
20392.bernhard.hug,Bernhard HUG,25:39:05,18,Suisse,CH,,35-39,H
8127.pascal.blanc,Pascal BLANC,25:42:21,19,France,FR,,40-44,H
12616.sebastien.chaigneau,Sebastien CHAIGNEAU,25:42:21,20,France,FR,,35-39,H
7838.ryan.baumann,Ryan BAUMANN,25:48:03,21,Suisse,CH,,35-39,H
19883.vincent.staub,Vincent STAUB,25:53:51,22,Suisse,CH,,35-39,H
76402.jordi.martinezdemarsay,Jordi MARTINEZ-DE MARSAY,26:08:30,23,Espagne,ES,,35-39,H
43444.romain.olivier,Romain OLIVIER,26:09:36,24,France,FR,,20-34,H
41376.olivier.foissac,Olivier FOISSAC,26:14:40,25,France,FR,,35-39,H
27888.bruno.durand,Bruno DURAND,26:20:54,26,France,FR,,40-44,H
72314.xavier.marchand,Xavier MARCHAND,26:24:53,27,France,FR,,35-39,H
39328.yves.masson,Yves MASSON,26:35:33,28,France,FR,,45-49,H
23932.thierry.chambry,Thierry CHAMBRY,26:44:40,29,France,FR,,40-44,H
20154.jeanclaude.pache,Jean-Claude PACHE,26:49:15,30,Suisse,CH,,40-44,H
10400.philippe.verdier,Philippe VERDIER,26:53:45,31,France,FR,,45-49,H
6282.bertrand.cochard,Bertrand COCHARD,26:56:26,32,France,FR,,35-39,H
13272.oscar.perezdenanclaresvicario,Oscar PEREZ DE NANCLARES VICARIO,26:57:18,33,Espagne,ES,,35-39,H
37636.lionel.eveno,Lionel EVENO,27:06:57,34,France,FR,,45-49,H
13099.toni.contesti,Toni CONTESTI,27:14:03,35,Espagne,ES,,35-39,H
43629.fabrice.perianayagom,Fabrice PERIANAYAGOM,27:16:00,36,France,FR,,20-34,H
41800.david.bellanger,David BELLANGER,27:27:10,37,France,FR,,35-39,H
2707.jez.bragg,Jez BRAGG,27:28:07,38,Royaume-Uni,GB,,20-34,H
20051.karine.herry,Karine HERRY,27:38:35,39,France,FR,,40-44,F
7832.jeanmarc.zaugg,Jean-Marc ZAUGG,27:38:36,40,France,FR,,35-39,H
30004.lionel.favrefelix,Lionel FAVRE-FELIX,27:39:59,41,France,FR,,20-34,H
8776.sebastien.farano,Sebastien FARANO,27:39:59,42,France,FR,,35-39,H
7629.oscar.perezlopez,Oscar PEREZ-LOPEZ,27:39:59,43,Espagne,ES,,35-39,H
29869.siukeung.tsang,Siu Keung TSANG,28:00:23,44,"Hong Kong, Chine",HK,,20-34,H
60006.matthew.davis,Matthew DAVIS,28:09:33,45,Royaume-Uni,GB,,35-39,H
19962.nicolas.cointepas,Nicolas COINTEPAS,28:09:34,46,France,FR,,35-39,H
28572.laurent.gueraud,Laurent GUERAUD,28:26:55,47,France,FR,,40-44,H
76660.mikel.valdivielsomaiz,Mikel VALDIVIELSO-MAIZ,28:28:33,48,Espagne,ES,,80+,H
70530.alois.leitner,Alois LEITNER,28:28:36,49,Autriche,AT,,45-49,H
41867.didier.delemontez,Didier DELEMONTEZ,28:28:58,50,France,FR,,50-54,H
76661.john.fleetwood,John FLEETWOOD,28:30:48,51,Royaume-Uni,GB,,80+,H
11559.catherine.dubois,Catherine DUBOIS,28:30:59,52,France,FR,,35-39,F
2526.david.bianchetti,David BIANCHETTI,28:37:07,53,France,FR,,20-34,H
19285.pierluigi.panigada,Pierluigi PANIGADA,28:37:07,54,Italie,IT,,40-44,H
32027.miguelangel.mudarrasanchez,Miguel-Angel MUDARRA-SANCHEZ,28:43:49,55,Espagne,ES,,35-39,H
19957.yan.balduchelli,Yan BALDUCHELLI,28:45:14,56,Suisse,CH,,20-34,H
76662.christophe.bignot,Christophe BIGNOT,28:45:33,57,France,FR,,40-44,H
32032.francisco.robresmonforte,Francisco ROBRES-MONFORTE,28:48:30,58,Espagne,ES,,35-39,H
74962.olivier.cordeuil,Olivier CORDEUIL,28:50:17,59,France,FR,,20-34,H
21029.paolo.rovera,Paolo ROVERA,28:57:27,60,Italie,IT,,20-34,H
75931.albert.ginecid,Albert GINE-CID,29:01:52,61,Espagne,ES,,20-34,H
12849.lionel.planes,Lionel PLANES,29:06:33,62,France,FR,,20-34,H
48655.marco.vannucci,Marco VANNUCCI,29:09:09,63,Italie,IT,,35-39,H
9814.guillaume.bernard,Guillaume BERNARD,29:10:20,64,France,FR,,20-34,H
74331.christophe.lecomte,Christophe LECOMTE,29:11:08,65,France,FR,,40-44,H
76414.renaud.vanwetter,Renaud VAN WETTER,29:14:04,66,Belgique,BE,,35-39,H
76185.frederic.dumoulin,Frederic DUMOULIN,29:14:17,67,France,FR,,45-49,H
10774.patrice.berguerand,Patrice BERGUERAND,29:25:45,68,France,FR,,45-49,H
2396491.yann.richard,Yann RICHARD,29:28:04,69,France,FR,,35-39,H
44891.carluccio.bordoni,Carluccio BORDONI,29:29:39,70,Italie,IT,,55-59,H
7211.alexandre.hayetine,Alexandre HAYETINE,29:31:24,71,France,FR,,20-34,H
76663.maxime.reversat,Maxime REVERSAT,29:31:25,72,France,FR,,20-34,H
7639.dominique.fabregues,Dominique FABREGUES,29:33:49,73,France,FR,,40-44,H
7843.franck.dechelette,Franck DECHELETTE,29:35:36,74,France,FR,,35-39,H
1640593.arnaud.sindou,Arnaud SINDOU,29:38:41,75,France,FR,,35-39,H
76405.gilles.icart,Gilles ICART,29:38:45,76,France,FR,,45-49,H
8510.erwan.rioual,Erwan RIOUAL,29:40:20,77,France,FR,,40-44,H
42991.gilles.errotabereaesain,Gilles ERROTABEREA-ESAIN,29:41:38,78,France,FR,,35-39,H
