runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
11012.thierry.puigsegur,Thierry PUIGSEGUR,22:58:43,924,France,FR,,45-49,H
74018.dany.churet,Dany CHURET,23:02:01,925,France,FR,,45-49,F
73061.jeanluc.eschlimann,Jean-Luc ESCHLIMANN,23:02:01,926,France,FR,,50-54,H
34211.paul.wells,Paul WELLS,23:02:26,927,Royaume-Uni,GB,,45-49,H
73742.julien.nogaret,Julien NOGARET,23:04:15,928,France,FR,,20-34,H
76328.guy.margueritte,Guy MARGUERITTE,23:05:58,929,France,FR,,45-49,H
76329.miguelangel.gonzalezlopez,Miguel-Angel GONZALEZ-LOPEZ,23:10:25,930,Espagne,ES,,80+,H
76330.ricardo.gonzalezmas,Ricardo GONZALEZ-MAS,23:10:26,931,Espagne,ES,,80+,H
4162274.joancarles.leon,Joan Carles LEON,23:11:03,932,Espagne,ES,,40-44,H
75155.philippe.marion,Philippe MARION,23:12:34,933,France,FR,,45-49,H
33386.olivier.tribondeau,Olivier TRIBONDEAU,23:15:27,934,France,FR,,45-49,H
294.dominique.carrere,Dominique CARRERE,23:15:27,935,France,FR,,45-49,H
1159.guillaume.schwebig,Guillaume SCHWEBIG,23:15:28,936,France,FR,,40-44,H
8765.lionel.durand,Lionel DURAND,23:16:03,937,France,FR,,20-34,H
38290.frederic.leconte,Frederic LECONTE,23:16:04,938,France,FR,,35-39,H
28819.brigitte.gree,Brigitte GREE,23:16:04,939,France,FR,,55-59,F
28502.herve.lepape,Herve LEPAPE,23:16:04,940,France,FR,,40-44,H
76331.philippe.jamain,Philippe JAMAIN,23:17:06,941,France,FR,,60-64,H
20033.nataliya.marmier,Nataliya MARMIER,23:18:40,942,France,FR,,55-59,F
222652.bernhard.rohrmann,Bernhard ROHRMANN,23:18:54,943,Allemagne,DE,,50-54,H
61403.jens.werbonat,Jens WERBONAT,23:18:54,944,Allemagne,DE,,35-39,H
13185.markus.flick,Markus FLICK,23:18:54,945,Allemagne,DE,,40-44,H
62791.sebastian.wendel,Sebastian WENDEL,23:18:54,946,Allemagne,DE,,20-34,H
891241.felix.rojas,Felix ROJAS,23:19:13,947,Venezuela,VE,,35-39,H
73679.maydelene.ceballos,Maydelene CEBALLOS,23:19:14,948,Australie,AU,,35-39,F
73743.yoann.alphand,Yoann ALPHAND,23:20:08,949,France,FR,,20-34,H
423609.philippe.vidal,Philippe VIDAL,23:25:14,950,France,FR,,45-49,H
,Anonymous,23:26:57,951,France,FR,,50-54,H
76334.olivier.chevalley,Olivier CHEVALLEY,23:26:57,952,France,FR,,50-54,H
33142.daniel.laplanche,Daniel LAPLANCHE,23:27:59,953,France,FR,,50-54,H
76127.benoit.jordant,Benoit JORDANT,23:29:13,954,Belgique,BE,,45-49,H
21347.giuliano.pavan,Giuliano PAVAN,23:31:06,955,Italie,IT,,55-59,H
21271.luigi.ploner,Luigi PLONER,23:31:10,956,Italie,IT,,55-59,H
40038.vincent.brioudes,Vincent BRIOUDES,23:31:20,957,France,FR,,35-39,H
9156.claude.chopineaux,Claude CHOPINEAUX,23:33:18,958,France,FR,,40-44,H
10346.fabrice.lopez,Fabrice LOPEZ,23:33:19,959,France,FR,,20-34,H
26161.philippe.leroy,Philippe LEROY,23:33:43,960,France,FR,,40-44,H
11441.thierry.colas,Thierry COLAS,23:37:13,961,France,FR,,45-49,H
76335.leon.kouider,Leon KOUIDER,23:37:14,962,France,FR,,60-64,H
36733.seiichiro.hara,Seiichiro HARA,23:37:16,963,Japon,JP,,45-49,H
76336.thomas.ludwig,Thomas LUDWIG,23:37:24,964,Allemagne,DE,,45-49,H
76337.guillaume.gagnaire,Guillaume GAGNAIRE,23:37:29,965,France,FR,,35-39,H
72695.guillaume.jean,Guillaume JEAN,23:38:54,966,France,FR,,20-34,H
76338.patrice.vauguet,Patrice VAUGUET,23:38:55,967,France,FR,,45-49,H
24854.gilbert.sonntag,Gilbert SONNTAG,23:39:43,968,France,FR,,45-49,H
36916.miyuki.tsuruhashi,Miyuki TSURUHASHI,23:42:23,969,Japon,JP,,80+,F
25395.christian.gries,Christian GRIES,23:43:38,970,France,FR,,50-54,H
69496.thomas.schroder,Thomas SCHRÖDER,23:43:50,971,Allemagne,DE,,40-44,H
76339.christophe.gueguen,Christophe GUEGUEN,23:44:06,972,France,FR,,20-34,H
38511.stephane.bouchaud,Stephane BOUCHAUD,23:44:07,973,France,FR,,40-44,H
