runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
7829.ludovic.pommeret,Ludovic POMMERET,22:00:02,1,France,FR,,40-44,H
136586.gediminas.grinius,Gediminas GRINIUS,22:26:05,2,Lituanie,LT,,35-39,H
529591.timo.tollefson,Timo TOLLEFSON,22:30:28,3,Etats-Unis,US,,20-34,H
185010.david.laney,David LANEY,22:41:14,4,Etats-Unis,US,,20-34,H
124448.javier.dominguezledo,Javier DOMINGUEZ LEDO,22:44:16,5,Espagne,ES,,40-44,H
369191.zach.miller,Zach MILLER,22:54:26,6,Etats-Unis,US,,20-34,H
9808.sebastien.camus,Sebastien CAMUS,23:12:43,7,France,FR,,35-39,H
6598.julien.chorier,Julien CHORIER,23:13:34,8,France,FR,,35-39,H
57599.giulio.ornati,Giulio ORNATI,23:25:38,9,Italie,IT,,20-34,H
150820.juanmaria.jimenezllorens,Juan Maria JIMENEZ LLORENS,23:27:18,10,Espagne,ES,,20-34,H
19256.marco.zanchi,Marco ZANCHI,23:44:43,11,Italie,IT,,40-44,H
126179.javier.rodriguezbodas,Javier RODRIGUEZ-BODAS,23:50:21,12,Espagne,ES,,45-49,H
124735.victor.bernadblasco,Victor BERNAD BLASCO,23:53:25,13,Espagne,ES,,35-39,H
156038.armando.teixeira,Armando TEIXEIRA,24:22:22,14,Portugal,PT,,40-44,H
125196.juanjose.larrotcha,Juan Jose LARROTCHA,24:35:08,15,Espagne,ES,,45-49,H
36444.masatoshi.obara,Masatoshi OBARA,24:39:02,16,Japon,JP,,20-34,H
51174.paul.giblin,Paul GIBLIN,25:03:05,17,Royaume-Uni,GB,,35-39,H
102883.guillaume.porche,Guillaume PORCHE,25:03:10,18,France,FR,,20-34,H
384634.damian.hall,Damian HALL,25:12:11,19,Royaume-Uni,GB,,40-44,H
117050.caroline.chaverot,Caroline CHAVEROT,25:15:40,20,France,FR,,40-44,F
65601.andrea.huser,Andrea HUSER,25:22:56,21,Suisse,CH,,40-44,F
33602.ryan.smith,Ryan SMITH,25:37:33,22,Royaume-Uni,GB,,35-39,H
296056.ivano.molin,Ivano MOLIN,25:40:32,23,Italie,IT,,40-44,H
160925.roberto.gillopez,Roberto GIL-LOPEZ,25:52:04,24,Espagne,ES,,40-44,H
9.bertrand.collombpatton,Bertrand COLLOMB PATTON,25:56:31,25,France,FR,,40-44,H
6302.sange.sherpa,Sange SHERPA,26:12:43,26,Népal,NP,,35-39,H
106677.francisco.saezmarques,Francisco SAEZ-MARQUES,26:19:54,27,Espagne,ES,,35-39,H
44240.benjamin.david,Benjamin DAVID,26:24:45,28,France,FR,,20-34,H
297577.matthias.krah,Matthias KRAH,26:31:16,29,Allemagne,DE,,20-34,H
406411.bruno.sousa,Bruno SOUSA,26:39:03,30,Portugal,PT,,20-34,H
31614.telmo.veloso,Telmo VELOSO,26:39:03,30,Portugal,PT,,40-44,H
29991.jean.burnet,Jean BURNET,26:40:05,32,France,FR,,35-39,H
537469.florian.becker,Florian BECKER,26:49:36,33,France,FR,,20-34,H
29057.jay.aldous,Jay ALDOUS,27:04:59,34,Etats-Unis,US,,55-59,H
806902.julian.castano,Julian CASTANO,27:08:26,35,Colombie,CO,,20-34,H
20959.stefano.ruzza,Stefano RUZZA,27:10:22,36,Italie,IT,,20-34,H
11765.uxue.fraileazpeitia,Uxue FRAILE-AZPEITIA,27:10:22,36,Espagne,ES,,40-44,F
156053.sergi.banerasbatlle,Sergi BANERAS-BATLLE,27:12:46,38,Espagne,ES,,35-39,H
10734.juliette.blanchet,Juliette BLANCHET,27:37:18,39,France,FR,,35-39,F
4087.masazumi.fujioka,Masazumi FUJIOKA,27:39:21,40,Japon,JP,,45-49,H
11514.patrice.pajean,Patrice PAJEAN,27:40:55,41,France,FR,,40-44,H
264825.hochung.wong,Ho Chung WONG,27:47:10,42,"Hong Kong, Chine",HK,,20-34,H
396154.takashi.doi,Takashi DOI,28:02:57,43,Japon,JP,,35-39,H
393891.alexandre.urbinarubio,Alexandre URBINA RUBIO,28:09:30,44,Espagne,ES,,20-34,H
498817.aleksei.tolstenko,Aleksei TOLSTENKO,28:09:38,45,Russie,RU,,20-34,H
15156.michael.wardian,Michael WARDIAN,28:14:50,46,Etats-Unis,US,,40-44,H
491484.john.wros,John WROS,28:14:55,47,Etats-Unis,US,,20-34,H
12836.nicola.bassi,Nicola BASSI,28:15:23,48,Italie,IT,,20-34,H
144484.patrick.willcock,Patrick WILLCOCK,28:15:38,49,Afrique du Sud,ZA,,40-44,H
380177.magdalena.boulet,Magdalena BOULET,28:18:05,50,Etats-Unis,US,,40-44,F
318621.jasmin.paris,Jasmin PARIS,28:34:35,51,Royaume-Uni,GB,,20-34,F
141065.nicolas.bie,Nicolas BIE,28:37:18,52,France,FR,,35-39,H
475358.rafal.jura,Rafał JURA,28:42:54,53,Pologne,PL,,20-34,H
6308.patrick.fragniere,Patrick FRAGNIERE,28:47:47,54,Suisse,CH,,20-34,H
606854.paquito.piqueres,Paquito PIQUERES,28:54:20,55,Espagne,ES,,40-44,H
144459.julien.bourgnon,Julien BOURGNON,28:56:34,56,Suisse,CH,,20-34,H
399366.petr.kral,Petr KRAL,28:58:30,57,République tchèque,CZ,,20-34,H
7849.julien.germain,Julien GERMAIN,29:10:58,58,France,FR,,40-44,H
263680.remi.delille,Remi DELILLE,29:11:08,59,France,FR,,20-34,H
81199.xavier.guiucasol,Xavier GUIU-CASOL,29:12:35,60,Espagne,ES,,35-39,H
18984.ildiko.wermescher,Ildikó WERMESCHER,29:13:56,61,Allemagne,DE,,50-54,F
534780.yanzhong.qin,Yanzhong QIN,29:15:06,62,Chine,CN,,20-34,H
8924.benoit.thiery,Benoit THIERY,29:16:08,63,France,FR,,20-34,H
474487.kaori.niwa,Kaori NIWA,29:17:41,64,Japon,JP,,40-44,F
11460.matthieu.girard,Matthieu GIRARD,29:17:55,65,Suisse,CH,,40-44,H
313724.stephane.pitaut,Stephane PITAUT,29:20:57,66,France,FR,,40-44,H
11808.ruben.aristu,Ruben ARISTU,29:26:31,67,Espagne,ES,,35-39,H
124464.eneko.garderuiz,Eneko GARDE-RUIZ,29:26:32,68,Espagne,ES,,35-39,H
498825.carlton.rowlands,Carlton ROWLANDS,29:30:31,69,Royaume-Uni,GB,,20-34,H
116144.henrik.westerlin,Henrik WESTERLIN,29:32:45,70,Danemark,DK,,40-44,H
280312.claude.buet,Claude BUET,29:38:40,71,France,FR,,40-44,H
328189.oleksii.prokopenko,Oleksii PROKOPENKO,29:46:43,72,Ukraine,UA,,40-44,H
330414.gabriele.sboarina,Gabriele SBOARINA,29:47:00,73,Suisse,CH,,20-34,H
1145927.josep.peravall,Josep PERA VALL,29:50:52,74,Espagne,ES,,45-49,H
179729.fabrice.couchoud,Fabrice COUCHOUD,29:52:57,75,France,FR,,40-44,H
19.david.wamster,David WAMSTER,29:55:17,76,France,FR,,40-44,H
31611.david.liesahernandez,David LIESA-HERNANDEZ,29:58:48,77,Espagne,ES,,35-39,H
2707.jez.bragg,Jez BRAGG,30:02:35,78,Royaume-Uni,GB,,35-39,H
271033.kai.langel,Kai LANGEL,30:03:46,79,Finlande,FI,,40-44,H
206302.andis.rumbenieks,Andis RUMBENIEKS,30:09:01,80,Lettonie,LV,,35-39,H
316329.james.harris,James HARRIS,30:09:31,81,Royaume-Uni,GB,,20-34,H
24908.thierry.aubert,Thierry AUBERT,30:14:21,82,France,FR,,45-49,H
50771.matthew.urbanski,Matthew URBANSKI,30:32:06,83,Etats-Unis,US,,35-39,H
62714.armin.bernard,Armin BERNARD,30:33:24,84,Allemagne,DE,,50-54,H
124992.sergioluis.tejeromadrigal,Sergio Luís TEJERO MADRIGAL,30:34:42,85,Espagne,ES,,35-39,H
126206.vicentetito.parrahernandez,Vicente-Tito PARRA HERNANDEZ,30:34:42,85,Espagne,ES,,35-39,H
947739.arkaitz.lopezdearmentia,Arkaitz LOPEZ DE ARMENTIA,30:36:04,87,Espagne,ES,,20-34,H
469695.ander.ericetornaria,Ander ERICE-TORNARIA,30:39:26,88,Espagne,ES,,35-39,H
475853.florian.schutz,Florian SCHÜTZ,30:42:36,89,Allemagne,DE,,20-34,H
21117.luca.stegagnini,Luca STEGAGNINI,30:42:37,90,Italie,IT,,45-49,H
217960.david.cabreraduque,David CABRERA-DUQUE,30:44:25,91,Espagne,ES,,35-39,H
349250.bastien.bruand,Bastien BRUAND,30:49:19,92,France,FR,,20-34,H
430805.stephen.rennick,Stephen RENNICK,30:50:41,93,Australie,AU,,35-39,H
277703.eric.tang,Eric TANG,30:53:10,94,Australie,AU,,35-39,H
22199.timo.meyer,Timo MEYER,30:54:57,95,Allemagne,DE,,35-39,H
30957.travis.mattern,Travis MATTERN,30:56:19,96,Etats-Unis,US,,40-44,H
12641.denise.zimmermann,Denise ZIMMERMANN,31:00:03,97,Suisse,CH,,40-44,F
346034.masahiro.takeuchi,Masahiro TAKEUCHI,31:05:36,98,Japon,JP,,35-39,H
28324.julien.maire,Julien MAIRE,31:11:48,99,France,FR,,20-34,H
11462.herve.lucak,Herve LUCAK,31:17:22,100,France,FR,,45-49,H
356240.thomas.gerain,Thomas GERAIN,31:27:24,101,France,FR,,40-44,H
487199.rui.sequeira,Rui SEQUEIRA,31:28:32,102,Portugal,PT,,35-39,H
13422.david.cidmenor,David CID MENOR,31:34:18,103,Espagne,ES,,20-34,H
46056.matthias.knobloch,Matthias KNOBLOCH,31:39:24,104,Allemagne,DE,,35-39,H
224479.gumersindojose.estevemartinez,Gumersindo-Jose ESTEVE-MARTINEZ,31:40:52,105,Espagne,ES,,35-39,H
875921.hannes.tschofenig,Hannes TSCHOFENIG,31:45:06,106,Autriche,AT,,40-44,H
57534.luca.guerini,Luca GUERINI,31:45:34,107,Italie,IT,,50-54,H
269326.claudio.chiarini,Claudio CHIARINI,31:45:35,108,Italie,IT,,40-44,H
206570.albert.perezvalero,Albert PEREZ-VALERO,31:46:41,109,Espagne,ES,,40-44,H
234696.sophie.grant,Sophie GRANT,31:53:07,110,Royaume-Uni,GB,,20-34,F
14214.steven.moore,Steven MOORE,31:59:30,111,Etats-Unis,US,,45-49,H
354822.konrad.swaldek,Konrad SWALDEK,31:59:31,112,Pologne,PL,,35-39,H
507655.michal.linek,Michał LINEK,32:06:02,113,Pologne,PL,,40-44,H
306063.louischristophe.moissonnier,Louis Christophe MOISSONNIER,32:06:37,114,France,FR,,45-49,H
76936.christophe.roques,Christophe ROQUES,32:08:31,115,France,FR,,45-49,H
569612.phairat.varasin,Phairat VARASIN,32:09:13,116,Thaïlande,TH,,20-34,H
154403.javier.puitjuste,Javier PUIT JUSTE,32:09:41,117,Espagne,ES,,35-39,H
346025.kazufumi.ose,Kazufumi OSE,32:11:05,118,Japon,JP,,35-39,H
277710.koji.beppu,Koji BEPPU,32:11:48,119,Japon,JP,,35-39,H
694336.dan.bronstein,Dan BRONSTEIN,32:13:29,120,Russie,RU,,35-39,H
4240834.piero.toffoli,Piero TOFFOLI,32:15:06,121,Italie,IT,,50-54,H
371294.christopher.roberts,Christopher ROBERTS,32:15:57,122,Australie,AU,,40-44,H
2713.jaeduk.sim,Jaeduk SIM,32:19:06,123,Corée du Sud,KR,,45-49,H
214764.abris.sulyok,Abris SULYOK,32:22:56,124,Hongrie,HU,,20-34,H
150829.thomas.fontheneau,Thomas FONTHENEAU,32:24:05,125,France,FR,,20-34,H
160461.antoni.collbernat,Antoni COLL BERNAT,32:24:52,126,Espagne,ES,,35-39,H
547882.jacek.swiderek,Jacek SWIDEREK,32:25:02,127,Pologne,PL,,40-44,H
341530.jerome.gerdil,Jerome GERDIL,32:25:42,128,France,FR,,40-44,H
317900.mark.turner,Mark TURNER,32:26:20,129,Royaume-Uni,GB,,40-44,H
109372.graziana.pe,Graziana PE,32:26:50,130,Italie,IT,,35-39,F
78157.nicky.spinks,Nicky SPINKS,32:32:11,131,Royaume-Uni,GB,,45-49,F
191967.susana.simoes,Susana SIMOES,32:36:22,132,Portugal,PT,,40-44,F
496781.bart.janssens,Bart JANSSENS,32:43:31,133,Belgique,BE,,35-39,H
102612.jeanluc.figuier,Jean-Luc FIGUIER,32:44:40,134,France,FR,,45-49,H
321149.andreas.noren,Andreas NOREN,32:46:13,135,Suède,SE,,40-44,H
207826.richard.staite,Richard STAITE,32:48:26,136,Royaume-Uni,GB,,45-49,H
270896.jordi.nunezvera,Jordi NUNEZ VERA,32:50:54,137,Espagne,ES,,20-34,H
446101.petrut.alexcosmin,Alex-Cosmin PETRUT (Petrut ALEX COSMIN),32:53:01,138,Roumanie,RO,,20-34,H
43878.alexis.guerard,Alexis GUERARD,32:54:04,139,France,FR,,20-34,H
207196.mark.shannon,Mark SHANNON,32:55:11,140,Irlande,IE,,35-39,H
760333.kevin.shannon,Kevin SHANNON,32:55:11,140,Irlande,IE,,20-34,H
158265.jiro.takikawa,Jiro TAKIKAWA,32:58:13,142,Japon,JP,,50-54,H
272578.miguel.barasoain,Miguel BARASOAIN,32:58:56,143,Espagne,ES,,35-39,H
272570.aitor.perezbueno,Aitor PEREZ-BUENO,32:58:58,144,Espagne,ES,,35-39,H
247512.jorge.lirascesar,Jorge LIRAS-CESAR,32:58:58,144,Espagne,ES,,40-44,H
173795.ivan.arriolaaldamiz,Ivan ARRIOLA-ALDAMIZ,32:59:34,146,Espagne,ES,,35-39,H
29795.silke.koester,Silke KOESTER,33:00:21,147,Etats-Unis,US,,20-34,F
475806.johannes.stimpfle,Johannes STIMPFLE,33:08:11,148,Allemagne,DE,,20-34,H
376348.santiago.rozaseguren,Santiago ROZAS-EGUREN,33:10:53,149,Espagne,ES,,35-39,H
224388.david.doradomolinero,David DORADO-MOLINERO,33:13:40,150,Espagne,ES,,40-44,H
509135.pierre.besson,Pierre BESSON,33:14:34,151,France,FR,,20-34,H
421391.tony.traverso,Tony TRAVERSO,33:16:15,152,France,FR,,40-44,H
6980.sebastien.comte,Sebastien COMTE,33:16:30,153,France,FR,,35-39,H
139917.christophe.roupie,Christophe ROUPIE,33:19:11,154,France,FR,,40-44,H
28335.matthieu.bouffeteau,Matthieu BOUFFETEAU,33:22:24,155,France,FR,,20-34,H
269954.guillaume.blandin,Guillaume BLANDIN,33:22:25,156,France,FR,,20-34,H
506400.ibon.hurtado,Ibon HURTADO,33:22:40,157,Espagne,ES,,20-34,H
209089.alessandro.roncato,Alessandro RONCATO,33:22:56,158,Italie,IT,,35-39,H
366168.emanuele.ludovisi,Emanuele LUDOVISI,33:22:58,159,Italie,IT,,20-34,H
25233.dominique.engel,Dominique ENGEL,33:23:23,160,France,FR,,50-54,H
366291.christophe.manssens,Christophe MANSSENS,33:25:21,161,France,FR,,20-34,H
480082.slawek.konopka,Sławek KONOPKA,33:43:30,162,Pologne,PL,,40-44,H
62917.adam.hetmanski,Adam HETMANSKI,33:44:25,163,Allemagne,DE,,45-49,H
135225.nicolas.nacher,Nicolas NACHER,33:45:42,164,France,FR,,35-39,H
201216.janis.viskers,Janis VISKERS,33:46:13,165,Lettonie,LV,,40-44,H
544695.renli.li,Renli LI,33:47:13,166,Chine,CN,,35-39,H
210831.mike.prince,Mike PRINCE,33:50:17,167,Royaume-Uni,GB,,45-49,H
201240.anssi.auvinen,Anssi AUVINEN,33:51:24,168,Finlande,FI,,35-39,H
144752.goran.modrusan,Goran MODRUSAN,33:53:10,169,Croatie,HR,,35-39,H
476698.albert.vilardellgraells,Albert VILARDELL GRAELLS,33:53:45,170,Espagne,ES,,40-44,H
,Anonymous,33:53:47,171,Espagne,ES,,40-44,H
11746.jordi.bes,Jordi BES,33:53:50,172,Espagne,ES,,40-44,H
310597.johan.gustafsson,Johan GUSTAFSSON,33:56:11,173,Suède,SE,,40-44,H
562886.marie.mcnaughton,Marie MCNAUGHTON,33:56:28,174,Nouvelle-Zélande,NZ,,40-44,F
