runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
28282.xavier.thevenard,Xavier THEVENARD,21:09:15,1,France,FR,,20-34,H
13233.luisalberto.hernandoalzaga,Luís Alberto HERNANDO ALZAGA,21:57:17,2,Espagne,ES,,35-39,H
185010.david.laney,David LANEY,21:59:42,3,Etats-Unis,US,,20-34,H
54565.seth.swanson,Seth SWANSON,22:00:10,4,Etats-Unis,US,,35-39,H
3.fabien.antolinos,Fabien ANTOLINOS,22:28:26,5,France,FR,,35-39,H
1.erik.clavery,Erik CLAVERY,22:45:28,6,France,FR,,35-39,H
106875.francesc.sole,Francesc SOLE,22:53:23,7,Espagne,ES,,20-34,H
33602.ryan.smith,Ryan SMITH,23:10:07,8,Royaume-Uni,GB,,35-39,H
25194.alexandre.mayer,Alexandre MAYER,23:44:53,9,France,FR,,35-39,H
107248.piotr.hercog,Piotr HERCOG,24:10:54,10,Pologne,PL,,35-39,H
396154.takashi.doi,Takashi DOI,24:21:11,11,Japon,JP,,20-34,H
257533.jordi.gamitobaus,Jordi GAMITO BAUS,24:32:11,12,Espagne,ES,,20-34,H
13274.ion.azpirozazpiroz,Ion AZPIROZ AZPIROZ,24:38:37,13,Espagne,ES,,35-39,H
150820.juanmaria.jimenezllorens,Juan Maria JIMENEZ LLORENS,24:40:19,14,Espagne,ES,,20-34,H
2190.john.tidd,John TIDD,24:42:20,15,Espagne,ES,,50-54,H
11454.ronan.moalic,Ronan MOALIC,24:49:28,16,France,FR,,40-44,H
29869.siukeung.tsang,Siu Keung TSANG,24:56:25,17,"Hong Kong, Chine",HK,,35-39,H
156038.armando.teixeira,Armando TEIXEIRA,25:08:49,18,Portugal,PT,,40-44,H
15.nathalie.mauclair,Nathalie MAUCLAIR,25:15:33,19,France,FR,,45-49,F
156043.jordi.casadella,Jordi CASADELLA,25:41:52,20,Espagne,ES,,35-39,H
31602.gerard.morales,Gerard MORALES,25:41:53,21,Espagne,ES,,40-44,H
524867.majell.backhausen,Majell BACKHAUSEN,25:43:26,22,Australie,AU,,20-34,H
478905.andrea.macchi,Andrea MACCHI,25:55:25,23,Italie,IT,,20-34,H
6289.mathieu.motsch,Mathieu MOTSCH,25:56:54,24,France,FR,,40-44,H
335703.kim.collison,Kim COLLISON,26:01:36,25,Royaume-Uni,GB,,35-39,H
30471.davide.grazielli,Davide GRAZIELLI,26:03:53,26,Italie,IT,,40-44,H
6955.renaud.rouanet,Renaud ROUANET,26:14:02,27,France,FR,,35-39,H
296056.ivano.molin,Ivano MOLIN,26:15:00,28,Italie,IT,,40-44,H
6456.julien.rizzotto,Julien RIZZOTTO,26:29:33,29,France,FR,,35-39,H
11765.uxue.fraileazpeitia,Uxue FRAILE-AZPEITIA,26:29:35,30,Espagne,ES,,40-44,F
384634.damian.hall,Damian HALL,26:41:46,31,Royaume-Uni,GB,,40-44,H
171539.florian.grasel,Florian GRASEL,26:54:15,32,Autriche,AT,,20-34,H
11752.matthias.dippacher,Matthias DIPPACHER,26:54:17,33,Allemagne,DE,,35-39,H
116551.kirill.rusin,Kirill RUSIN,26:54:53,34,Russie,RU,,20-34,H
107261.kamil.lesniak,Kamil LESNIAK,26:56:48,35,Pologne,PL,,20-34,H
47363.anton.vencelj,Anton VENCELJ,27:03:53,36,Slovénie,SI,,40-44,H
13713.zigor.alberdiezenarro,Zigor ALBERDI-EZENARRO,27:10:07,37,Espagne,ES,,20-34,H
191964.jeanmichel.terme,Jean-Michel TERME,27:20:47,38,France,FR,,20-34,H
13829.pau.vivesxiol,Pau VIVES-XIOL,27:27:50,39,Espagne,ES,,40-44,H
20065.daniel.biollaz,Daniel BIOLLAZ,27:28:40,40,France,FR,,45-49,H
12641.denise.zimmermann,Denise ZIMMERMANN,27:33:51,41,Suisse,CH,,40-44,F
366212.luiscarlos.maciasperez,Luis-Carlos MACIAS-PEREZ,27:37:22,42,Espagne,ES,,40-44,H
197831.krystian.ogly,Krystian OGLY,27:37:41,43,Pologne,PL,,35-39,H
124532.silviaainhoa.triguerosgarrote,Silvia Ainhoa TRIGUEROS GARROTE,27:39:36,44,Espagne,ES,,35-39,F
1332693.alfredo.aquino,Alfredo AQUINO,27:43:26,45,Argentine,AR,,20-34,H
8934.sylvain.camus,Sylvain CAMUS,27:46:06,46,France,FR,,20-34,H
9808.sebastien.camus,Sebastien CAMUS,27:46:07,47,France,FR,,35-39,H
355380.richard.ashton,Richard ASHTON,27:48:05,48,Royaume-Uni,GB,,20-34,H
19590.christian.modena,Christian MODENA,27:49:18,49,Italie,IT,,20-34,H
127386.johan.malard,Johan MALARD,27:51:25,50,France,FR,,40-44,H
33406.jeanhugo.hoarau,Jean-Hugo HOARAU,28:00:33,51,France,FR,,20-34,H
59046.marco.bethaz,Marco BETHAZ,28:06:03,52,Italie,IT,,50-54,H
158209.takuro.ohshima,Takuro OHSHIMA,28:07:57,53,Japon,JP,,35-39,H
296057.eugen.innerkofler,Eugen INNERKOFLER,28:11:39,54,Italie,IT,,50-54,H
11056.marc.toubin,Marc TOUBIN,28:14:45,55,France,FR,,40-44,H
11074.sylvain.arnaud,Sylvain ARNAUD,28:18:35,56,France,FR,,35-39,H
273214.omar.vallesanchez,Omar VALLE SANCHEZ,28:21:20,57,Espagne,ES,,40-44,H
32027.miguelangel.mudarrasanchez,Miguel-Angel MUDARRA-SANCHEZ,28:32:39,58,Espagne,ES,,45-49,H
23491.joe.grant,Joe GRANT,28:37:10,59,Etats-Unis,US,,20-34,H
75929.darcy.piceuafrica,Darcy PICEU AFRICA,28:38:30,60,Etats-Unis,US,,40-44,F
11721.jeanfrancois.bombenger,Jean-François BOMBENGER,28:39:55,61,France,FR,,35-39,H
156305.luciana.moretti,Luciana MORETTI,28:40:47,62,Argentine,AR,,35-39,F
416633.rui.pacheco,Rui PACHECO,28:41:13,63,Portugal,PT,,35-39,H
387401.antonio.morenoortiz,Antonio MORENO-ORTIZ,28:48:45,64,Espagne,ES,,45-49,H
19885.joachim.pellissier,Joachim PELLISSIER,28:52:12,65,Suisse,CH,,35-39,H
107272.marcin.pawlowski,Marcin PAWLOWSKI,28:59:46,66,Pologne,PL,,20-34,H
8924.benoit.thiery,Benoit THIERY,29:00:52,67,France,FR,,20-34,H
14394.jesse.haynes,Jesse HAYNES,29:01:03,68,Etats-Unis,US,,40-44,H
169728.michael.jones,Michael JONES,29:08:00,69,Royaume-Uni,GB,,20-34,H
483290.patrick.frei,Patrick FREI,29:10:15,70,Suisse,CH,,40-44,H
83100.anthony.davies,Anthony DAVIES,29:16:26,71,Royaume-Uni,GB,,50-54,H
63467.jens.lukas,Jens LUKAS,29:23:17,72,Allemagne,DE,,45-49,H
371181.emir.grairi,Emir GRAIRI,29:23:43,73,Tunisie,TN,,20-34,H
269550.thierry.overney,Thierry OVERNEY,29:23:50,74,Suisse,CH,,40-44,H
150578.pedro.bianco,Pedro BIANCO,29:24:09,75,Argentine,AR,,35-39,H
61437.sebastian.fuchs,Sebastian FUCHS,29:24:49,76,Allemagne,DE,,20-34,H
55699.ioannis.kourkourikis,Ioannis KOURKOURIKIS,29:25:04,77,Grèce,GR,,40-44,H
184371.dominic.grossman,Dominic GROSSMAN,29:25:45,78,Etats-Unis,US,,20-34,H
13321.xabier.garateayestaran,Xabier GARATE-AYESTARAN,29:25:59,79,Espagne,ES,,20-34,H
46729.sven.vetter,Sven VETTER,29:27:01,80,Allemagne,DE,,35-39,H
7843.franck.dechelette,Franck DECHELETTE,29:27:03,81,France,FR,,40-44,H
172313.adrian.santiagoandres,Adrian SANTIAGO-ANDRES,29:28:34,82,Espagne,ES,,40-44,H
41605.julien.deschamps,Julien DESCHAMPS,29:30:45,83,France,FR,,35-39,H
207671.galen.reynolds,Galen REYNOLDS,29:35:42,84,Canada,CA,,20-34,H
2322.eric.lee,Eric LEE,29:37:38,85,Etats-Unis,US,,20-34,H
34088.alister.gardner,Alister GARDNER,29:37:38,85,Canada,CA,,35-39,H
430804.sam.maffett,Sam MAFFETT,29:38:15,87,Australie,AU,,40-44,H
45762.bernadette.benson,Bernadette BENSON,29:40:11,88,Australie,AU,,45-49,F
334019.carles.sanchezcasals,Carles SANCHEZ CASALS,29:40:55,89,Espagne,ES,,40-44,H
11055.remi.voisin,Remi VOISIN,29:45:21,90,France,FR,,20-34,H
328189.oleksii.prokopenko,Oleksii PROKOPENKO,29:47:14,91,Ukraine,UA,,40-44,H
77390.clement.dumont,Clement DUMONT,29:49:14,92,France,FR,,35-39,H
474479.michael.ormiston,Michael ORMISTON,29:49:17,93,Australie,AU,,40-44,H
29597.zach.violett,Zach VIOLETT,29:50:26,94,Etats-Unis,US,,20-34,H
10861.fabien.nelin,Fabien NELIN,29:51:20,95,France,FR,,35-39,H
10259.gianluca.antonelli,Gianluca ANTONELLI,29:53:59,96,Italie,IT,,40-44,H
49102.tetsuaki.nomoto,Tetsuaki NOMOTO,29:54:29,97,Japon,JP,,40-44,H
346025.kazufumi.ose,Kazufumi OSE,29:54:37,98,Japon,JP,,20-34,H
159603.thomas.beirnaert,Thomas BEIRNAERT,29:57:41,99,Belgique,BE,,35-39,H
422972.elov.olsson,Elov OLSSON,30:02:05,100,Suède,SE,,20-34,H
51168.matthew.williamson,Matthew WILLIAMSON,30:02:57,101,Royaume-Uni,GB,,35-39,H
230239.bartosz.pardela,Bartosz PARDELA,30:02:59,102,Pologne,PL,,20-34,H
8951.benoit.cretien,Benoit CRETIEN,30:09:12,103,France,FR,,20-34,H
62896.wim.bastiaens,Wim BASTIAENS,30:13:51,104,Belgique,BE,,35-39,H
306009.boris.capelle,Boris CAPELLE,30:16:16,105,France,FR,,20-34,H
1458029.stephanie.howe,Stephanie HOWE,30:16:28,106,Etats-Unis,US,,20-34,F
41958.charles.muzelle,Charles MUZELLE,30:16:51,107,France,FR,,40-44,H
11086.melanie.rousset,Melanie ROUSSET,30:17:01,108,France,FR,,35-39,F
150841.manuela.vilaseca,Manuela VILASECA,30:19:21,109,Brésil,BR,,35-39,F
60741.tomaso.mazzoli,Tomaso MAZZOLI,30:23:14,110,Italie,IT,,40-44,H
26502.pascal.leray,Pascal LERAY,30:23:15,111,France,FR,,40-44,H
276599.laurent.diot,Laurent DIOT,30:24:52,112,France,FR,,40-44,H
41959.etienne.zurfluh,Etienne ZURFLUH,30:25:13,113,France,FR,,40-44,H
173205.daniel.hernandocalleja,Daniel HERNANDO-CALLEJA,30:26:44,114,Espagne,ES,,35-39,H
60003.ross.litherland,Ross LITHERLAND,30:26:49,115,Royaume-Uni,GB,,40-44,H
262234.riccardo.degaetano,Riccardo DE GAETANO,30:30:58,116,Italie,IT,,20-34,H
78155.yann.lefrancois,Yann LEFRANCOIS,30:31:46,117,France,FR,,35-39,H
28310.matthias.forestier,Matthias FORESTIER,30:35:16,118,France,FR,,20-34,H
4071.chase.parnell,Chase PARNELL,30:36:18,119,Etats-Unis,US,,20-34,H
10250.frederic.ascone,Frederic ASCONE,30:42:16,120,France,FR,,35-39,H
136804.marc.metaireau,Marc METAIREAU,30:42:48,121,France,FR,,45-49,H
193444.alfred.psenner,Alfred PSENNER,30:43:16,122,Italie,IT,,45-49,H
144764.igor.kirsic,Igor KIRSIC,30:43:28,123,Croatie,HR,,20-34,H
417467.jennifer.boocock,Jennifer BOOCOCK,30:45:22,124,Australie,AU,,20-34,F
146237.sylvain.laur,Sylvain LAUR,30:47:48,125,France,FR,,45-49,H
203035.mikhail.kozyr,Mikhail KOZYR,30:51:07,126,Russie,RU,,20-34,H
4087.masazumi.fujioka,Masazumi FUJIOKA,30:51:44,127,Japon,JP,,40-44,H
23935.benoit.fayard,Benoit FAYARD,30:52:52,128,France,FR,,20-34,H
234696.sophie.grant,Sophie GRANT,31:01:29,129,Royaume-Uni,GB,,20-34,F
