runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
381419.pau.capell,Pau CAPELL,20:19:07,1.0,Espagne,ES,,20-34,H
28282.xavier.thevenard,Xavier THEVENARD,21:07:56,2.0,France,FR,,20-34,H
171215.scott.hawker,Scott HAWKER,21:48:04,3.0,Nouvelle-Zélande,NZ,,20-34,H
5865.tom.owens,Tom OWENS,22:04:29,4.0,Royaume-Uni,GB,,35-39,H
5960.andy.symonds,Andy SYMONDS,22:35:15,5.0,Royaume-Uni,GB,,35-39,H
243895.joaquin.lopez,Joaquin LOPEZ,22:47:47,6.0,Equateur,EC,,20-34,H
264825.hochung.wong,Ho Chung WONG,22:47:47,6.0,"Hong Kong, Chine",HK,,20-34,H
36444.masatoshi.obara,Masatoshi OBARA,23:00:12,8.0,Japon,JP,,35-39,H
124448.javier.dominguezledo,Javier DOMINGUEZ LEDO,23:16:03,9.0,Espagne,ES,,45-49,H
481015.germain.grangier,Germain GRANGIER,23:16:03,9.0,France,FR,,20-34,H
1146055.canhua.luo,Canhua LUO,23:21:17,11.0,Chine,CN,,20-34,H
742718.martin.kern,Martin KERN,23:38:44,12.0,France,FR,,20-34,H
26913.guillaume.beauxis,Guillaume BEAUXIS,23:41:28,13.0,France,FR,,20-34,H
452051.lluis.ruizoller,Lluis RUIZ OLLER,23:59:49,14.0,Espagne,ES,,20-34,H
568200.harry.jones,Harry JONES,24:03:53,15.0,Royaume-Uni,GB,,20-34,H
487395.moises.jimenez,Moises JIMENEZ,24:10:39,16.0,Venezuela,VE,,20-34,H
297577.matthias.krah,Matthias KRAH,24:20:45,17.0,Allemagne,DE,,20-34,H
11041.sylvain.court,Sylvain COURT,24:26:28,18.0,France,FR,,35-39,H
4064.jason.schlarb,Jason SCHLARB,24:27:59,19.0,Etats-Unis,US,,40-44,H
438818.francisco.freitas,Francisco FREITAS,24:29:19,20.0,Portugal,PT,,40-44,H
30959.courtney.dauwalter,Courtney DAUWALTER,24:34:26,21.0,Etats-Unis,US,,20-34,F
8931.rene.rovera,Rene ROVERA,24:40:52,22.0,France,FR,,50-54,H
6955.renaud.rouanet,Renaud ROUANET,24:44:27,23.0,France,FR,,40-44,H
51174.paul.giblin,Paul GIBLIN,24:53:30,24.0,Royaume-Uni,GB,,40-44,H
126206.vicentetito.parrahernandez,Vicente-Tito PARRA HERNANDEZ,24:55:35,25.0,Espagne,ES,,40-44,H
348698.borbergur.jonsson,Þorbergur JONSSON (Borbergur JONSSON),24:59:22,26.0,Islande,IS,,35-39,H
639530.sebastien.buet,Sebastien BUET,25:01:15,27.0,France,FR,,20-34,H
27362.jerome.lucas,Jerome LUCAS,25:28:56,28.0,France,FR,,45-49,H
193468.kristin.berglund,Kristin BERGLUND,25:34:12,29.0,Suède,SE,,35-39,F
136711.benoit.cori,Benoit CORI,25:35:32,30.0,France,FR,,35-39,H
764229.kuo.li,Kuo LI,25:36:05,31.0,Chine,CN,,20-34,H
448424.ugo.ferrari,Ugo FERRARI,25:40:28,32.0,France,FR,,20-34,H
345606.clement.guibert,Clement GUIBERT,25:40:28,32.0,France,FR,,35-39,H
63502.maite.maioraelizondo,Maite MAIORA ELIZONDO,25:41:30,34.0,Espagne,ES,,35-39,F
9808.sebastien.camus,Sebastien CAMUS,25:46:10,35.0,France,FR,,40-44,H
175605.francisco.mendozaguil,Francisco MENDOZA GUIL,25:46:46,36.0,Espagne,ES,,40-44,H
480410.ekaterina.mityaeva,Ekaterina MITYAEVA,25:53:26,37.0,Athlète Neutre,AN,,20-34,F
125196.juanjose.larrotcha,Juan Jose LARROTCHA,25:58:37,38.0,Espagne,ES,,50-54,H
573565.cedric.golea,Cédric GOLEA,26:00:05,39.0,France,FR,,35-39,H
11460.matthieu.girard,Matthieu GIRARD,26:03:51,40.0,Suisse,CH,,45-49,H
751011.paddy.oleary,Paddy O LEARY,26:05:54,41.0,Irlande,IE,,20-34,H
107249.pawel.dybek,Pawel DYBEK,26:08:43,42.0,Pologne,PL,,40-44,H
415160.kyle.curtin,Kyle CURTIN,26:12:30,43.0,Etats-Unis,US,,20-34,H
60005.andras.zetenyi,Andras ZETENYI,26:13:32,44.0,Hongrie,HU,,35-39,H
273484.beth.pascall,Beth PASCALL,26:26:48,45.0,Royaume-Uni,GB,,20-34,F
276614.simon.edouard,Simon EDOUARD,26:26:48,45.0,France,FR,,20-34,H
1750835.jantaraboon.kiangchaipaiphana,Jantaraboon KIANGCHAIPAIPHANA,26:35:30,47.0,Thaïlande,TH,,20-34,H
377455.maximiliano.lopez,Maximiliano LOPEZ,26:46:08,48.0,Argentine,AR,,35-39,H
45710.wataru.iino,Wataru IINO,26:46:55,49.0,Japon,JP,,40-44,H
585784.benoit.gaillard,Benoit GAILLARD,26:50:34,50.0,France,FR,,35-39,H
2714.shunsuke.okunomiya,Shunsuke OKUNOMIYA,27:16:20,51.0,Japon,JP,,40-44,H
75930.eoin.keith,Eoin KEITH,27:17:13,52.0,Irlande,IE,,50-54,H
295478.paulocesar.fernandesdias,Paulo Cesar FERNANDES DIAS,27:17:38,53.0,Portugal,PT,,20-34,H
1279251.samir.tazi,Samir TAZI,27:19:34,54.0,France,FR,,35-39,H
14393.paul.terranova,Paul TERRANOVA,27:22:00,55.0,Etats-Unis,US,,45-49,H
671487.katie.schide,Katie SCHIDE,27:22:56,56.0,Etats-Unis,US,,20-34,F
10648.vincent.viet,Vincent VIET,27:26:34,57.0,France,FR,,35-39,H
505547.guillaume.pierrel,Guillaume PIERREL,27:27:50,58.0,France,FR,,20-34,H
116138.thomas.nickel,Thomas NICKEL,27:28:23,59.0,Suisse,CH,,40-44,H
425086.xavier.semen,Xavier SEMEN,27:28:40,60.0,France,FR,,35-39,H
554072.gerome.fernandez,Gérôme FERNANDEZ,27:28:46,61.0,France,FR,,20-34,H
292065.pablo.ureta,Pablo URETA,27:30:36,62.0,Argentine,AR,,40-44,H
1092707.sergii.sapiga,Sergii SAPIGA,27:33:08,63.0,Ukraine,UA,,45-49,H
185011.ryan.ghelfi,Ryan GHELFI,27:35:28,64.0,Etats-Unis,US,,20-34,H
522699.paulosergio.rosadobatista,Paulo Sergio ROSADO BATISTA,27:39:39,65.0,Portugal,PT,,45-49,H
318023.mark.hammond,Mark HAMMOND,27:43:56,66.0,Etats-Unis,US,,20-34,H
383825.elise.delannoy,Elise DELANNOY,27:48:32,67.0,France,FR,,35-39,F
2171.rory.bosio,Rory BOSIO,27:59:45,68.0,Etats-Unis,US,,35-39,F
667145.blake.pierson,Blake PIERSON,28:02:57,69.0,Etats-Unis,US,,35-39,H
200483.sebastian.bachella,Sebastian BACHELLA,28:06:00,70.0,Argentine,AR,,40-44,H
18984.ildiko.wermescher,Ildikó WERMESCHER,28:13:32,71.0,Allemagne,DE,,50-54,F
1053929.william.weidman,William WEIDMAN,28:23:35,72.0,Etats-Unis,US,,35-39,H
7844.thierry.guiraud,Thierry GUIRAUD,28:25:57,73.0,France,FR,,20-34,H
535615.nelson.amaral,Nelson AMARAL,28:31:45,74.0,Portugal,PT,,40-44,H
391875.josepmaria.reycarreras,Josep Maria REY CARRERAS,28:32:23,75.0,Espagne,ES,,20-34,H
509183.johan.helvig,Johan HELVIG,28:33:46,76.0,France,FR,,20-34,H
73308.delphine.avenier,Delphine AVENIER,28:35:23,77.0,France,FR,,40-44,F
62896.wim.bastiaens,Wim BASTIAENS,28:43:17,78.0,Belgique,BE,,40-44,H
606851.mario.ortizfabregas,Mario ORTIZ-FABREGAS,28:44:41,79.0,Espagne,ES,,35-39,H
232007.balint.bartha,Balint BARTHA,28:47:08,80.0,Roumanie,RO,,35-39,H
80624.alexander.sass,Alexander SASS,28:53:27,81.0,Allemagne,DE,,40-44,H
1214403.brian.mcarthur,Brian MCARTHUR,28:55:55,82.0,Canada,CA,,45-49,H
989977.fuzhao.xiang,Fuzhao XIANG,28:57:26,83.0,Chine,CN,,20-34,F
764513.jeangregoire.luisier,Jean-Gregoire LUISIER,29:03:47,84.0,Suisse,CH,,20-34,H
167947.michael.ohler,Michael OHLER,29:10:21,85.0,Allemagne,DE,,50-54,H
81120.till.winkler,Till WINKLER,29:11:21,86.0,Allemagne,DE,,40-44,H
267419.prot.marko,Marko PROT (Prot MARKO),29:11:37,87.0,Slovénie,SI,,40-44,H
454456.nick.marriage,Nick MARRIAGE,29:12:16,88.0,Royaume-Uni,GB,,35-39,H
,Anonymous,29:15:40,89.0,Chine,CN,,20-34,H
1154335.francohernan.oro,Franco Hernan ORO,29:16:47,90.0,Argentine,AR,,20-34,H
