runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
8908.francois.dhaene,Francois D HAENE,20:11:44,1,France,FR,,20-34,H
60859.tofol.castanyer,Tofol CASTANYER,20:55:42,2,Espagne,ES,,40-44,H
7208.iker.karrera,Iker KARRERA,20:55:42,2,Espagne,ES,,40-44,H
4064.jason.schlarb,Jason SCHLARB,21:39:44,4,Etats-Unis,US,,35-39,H
136586.gediminas.grinius,Gediminas GRINIUS,21:50:04,5,Lituanie,LT,,35-39,H
57873.andrew.tuckey,Andrew TUCKEY,22:40:26,6,Australie,AU,,35-39,H
144485.sondre.amdahl,Sondre AMDAHL,22:42:37,7,Norvège,NO,,40-44,H
13637.carlos.sa,Carlos SA,22:50:07,8,Portugal,PT,,40-44,H
9.bertrand.collombpatton,Bertrand COLLOMB PATTON,22:51:54,9,France,FR,,35-39,H
24650.stephane.brogniart,Stephane BROGNIART,22:57:05,10,France,FR,,35-39,H
42923.diego.pazos,Diego PAZOS,23:11:05,11,Suisse,CH,,20-34,H
125894.nuno.mendessilva,Nuno MENDES SILVA,23:11:17,12,Portugal,PT,,20-34,H
12682.aitor.iraizoz,Aitor IRAIZOZ,23:18:01,13,Espagne,ES,,20-34,H
2171.rory.bosio,Rory BOSIO,23:23:20,14,Etats-Unis,US,,20-34,F
3787.aaron.heidt,Aaron HEIDT,23:43:58,15,Canada,CA,,35-39,H
2190.john.tidd,John TIDD,23:44:00,16,Espagne,ES,,50-54,H
159594.clement.petitjean,Clement PETITJEAN,23:45:34,17,France,FR,,20-34,H
29869.siukeung.tsang,Siu Keung TSANG,23:52:03,18,"Hong Kong, Chine",HK,,35-39,H
33497.brian.rusiecki,Brian RUSIECKI,23:52:46,19,Etats-Unis,US,,35-39,H
2707.jez.bragg,Jez BRAGG,24:14:17,20,Royaume-Uni,GB,,20-34,H
34654.ivan.geronazzo,Ivan GERONAZZO,24:16:46,21,Italie,IT,,40-44,H
124448.javier.dominguezledo,Javier DOMINGUEZ LEDO,24:26:17,22,Espagne,ES,,40-44,H
346025.kazufumi.ose,Kazufumi OSE,24:31:45,23,Japon,JP,,20-34,H
124735.victor.bernadblasco,Victor BERNAD BLASCO,24:33:28,24,Espagne,ES,,35-39,H
16.christophe.lesaux,Christophe LE SAUX,24:38:01,25,France,FR,,40-44,H
1.erik.clavery,Erik CLAVERY,24:38:04,26,France,FR,,20-34,H
