runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
2704.kilian.jornetburgada,Kilian JORNET BURGADA,21:33:18,1,Espagne,ES,,20-34,H
12616.sebastien.chaigneau,Sebastien CHAIGNEAU,22:36:45,2,France,FR,,35-39,H
2708.tsuyoshi.kaburaki,Tsuyoshi KABURAKI,22:48:36,3,Japon,JP,,40-44,H
11760.ulrich.calmbach,Ulrich CALMBACH,23:10:49,4,Allemagne,DE,,45-49,H
27887.lionel.trivel,Lionel TRIVEL,23:34:28,5,France,FR,,35-39,H
4911197.minehiro.yokoyama,Minehiro YOKOYAMA,23:36:14,6,Japon,JP,,40-44,H
17.csaba.nemeth,Csaba NEMETH,23:45:56,7,Hongrie,HU,,40-44,H
36428.kenichi.yamamoto,Kenichi YAMAMOTO,24:17:49,8,Japon,JP,,20-34,H
6602.herve.giraudsauveur,Herve GIRAUD-SAUVEUR,24:43:26,9,France,FR,,40-44,H
11804.armin.hohenadler,Armin HOHENADLER,24:50:39,10,Allemagne,DE,,35-39,H
14509.krissy.moehl,Krissy MOEHL,24:56:01,11,Etats-Unis,US,,20-34,F
9852.patrick.rey,Patrick REY,25:19:18,12,France,FR,,40-44,H
21555.jim.villiers,Jim VILLIERS,25:25:29,13,Australie,AU,,35-39,H
76402.jordi.martinezdemarsay,Jordi MARTINEZ-DE MARSAY,25:31:43,14,Espagne,ES,,35-39,H
7838.ryan.baumann,Ryan BAUMANN,25:42:20,15,Suisse,CH,,35-39,H
6953.antoine.guillon,Antoine GUILLON,25:45:40,16,France,FR,,35-39,H
32032.francisco.robresmonforte,Francisco ROBRES-MONFORTE,25:53:48,17,Espagne,ES,,35-39,H
12828.elizabeth.hawker,Elizabeth HAWKER,26:04:42,18,Royaume-Uni,GB,,20-34,F
3800.scott.jurek,Scott JUREK,26:07:15,19,Etats-Unis,US,,35-39,H
23491.joe.grant,Joe GRANT,26:07:16,20,Etats-Unis,US,,20-34,H
33407.patrice.baud,Patrice BAUD,26:20:42,21,France,FR,,40-44,H
51169.stuart.mills,Stuart MILLS,26:29:13,22,Royaume-Uni,GB,,45-49,H
40205.michel.cercueil,Michel CERCUEIL,26:31:13,23,France,FR,,35-39,H
3796.topher.gaylord,Topher GAYLORD,26:47:28,24,Etats-Unis,US,,40-44,H
8679.guillaume.nalin,Guillaume NALIN,26:51:33,25,France,FR,,20-34,H
25460.christian.schneider,Christian SCHNEIDER,27:02:48,26,Suisse,CH,,20-34,H
20156.juleshenri.gabioud,Jules-Henri GABIOUD,27:06:21,27,Suisse,CH,,20-34,H
