runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
864009.vincent.bouillard,Vincent BOUILLARD,19:54:23,1.0,France,FR,,20-34,H
1250019.baptiste.chassagne,Baptiste CHASSAGNE,20:22:45,2.0,France,FR,,20-34,H
243895.joaquin.lopez,Joaquin LOPEZ,20:26:22,3.0,Equateur,EC,,20-34,H
1008473.hannes.namberger,Hannes NAMBERGER,20:31:54,4.0,Allemagne,DE,,35-39,H
7829.ludovic.pommeret,Ludovic POMMERET,20:57:48,5.0,France,FR,,45-49,H
1440463.arthur.joyeuxbouillon,Arthur JOYEUX-BOUILLON,21:12:12,6.0,France,FR,,20-34,H
2667843.cody.lind,Cody LIND,21:33:16,7.0,Etats-Unis,US,,20-34,H
457047.manuel.anguita,Manuel ANGUITA,21:41:01,8.0,Espagne,ES,,20-34,H
2481427.gautier.bonnecarrere,Gautier BONNECARRÈRE,21:45:16,9.0,France,FR,,20-34,H
1312055.yannick.noel,Yannick NOEL,21:45:18,10.0,France,FR,,35-39,H
1682129.josh.wade,Josh WADE,21:52:09,11.0,Royaume-Uni,GB,,20-34,H
84968.thibaut.baronian,Thibaut BARONIAN,22:07:48,12.0,France,FR,,35-39,H
671487.katie.schide,Katie SCHIDE,22:09:31,13.0,Etats-Unis,US,,20-34,F
904167.aubin.ferrari,Aubin FERRARI,22:33:07,14.0,France,FR,,20-34,H
107261.kamil.lesniak,Kamil LESNIAK,22:47:34,15.0,Pologne,PL,,20-34,H
362813.ruth.croft,Ruth CROFT,22:48:37,16.0,Nouvelle-Zélande,NZ,,35-39,F
622497.jonathan.moncany,Jonathan MONCANY,22:58:01,17.0,France,FR,,20-34,H
643784.marianne.hogan,Marianne HOGAN,23:11:15,18.0,Canada,CA,,20-34,F
1390725.juuso.simpanen,Juuso SIMPANEN,23:11:39,19.0,Finlande,FI,,20-34,H
1383203.guillaume.deneffe,Guillaume DENEFFE,23:12:54,20.0,Belgique,BE,,40-44,H
317042.alexis.sevennec,Alexis SEVENNEC,23:18:51,21.0,France,FR,,35-39,H
1513749.marian.priadka,Marian PRIADKA,23:22:52,22.0,Slovaquie,SK,,35-39,H
234340.canyon.woodward,Canyon WOODWARD,23:26:04,23.0,Etats-Unis,US,,20-34,H
5960.andy.symonds,Andy SYMONDS,23:38:16,24.0,Royaume-Uni,GB,,40-44,H
4248936.jack.chamberlain,Jack CHAMBERLAIN,23:40:28,25.0,Royaume-Uni,GB,,20-34,H
511326.jonathan.schmid,Jonathan SCHMID,23:42:19,26.0,Suisse,CH,,20-34,H
1146055.canhua.luo,Canhua LUO,23:51:17,27.0,Chine,CN,,20-34,H
1332349.petr.henek,Petr HENEK,23:52:54,28.0,République tchèque,CZ,,35-39,H
868007.edgar.dias,Edgar DIAS,23:53:30,29.0,France,FR,,35-39,H
1190095.jhon.barrera,Jhon BARRERA,23:57:49,30.0,Colombie,CO,,35-39,H
42924.guillaume.berthier,Guillaume BERTHIER,24:03:33,31.0,France,FR,,35-39,H
3096053.matis.leray,Matis LERAY,24:12:00,32.0,France,FR,,20-34,H
4280152.jeanmarie.diverrez,Jean-Marie DIVERREZ,24:15:47,33.0,France,FR,,45-49,H
2659797.hippolyte.pesci,Hippolyte PESCI,24:16:00,34.0,France,FR,,20-34,H
2414677.lin.chen,Lin CHEN,24:16:33,35.0,Chine,CN,,20-34,F
3453763.ethan.peters,Ethan PETERS,24:18:00,36.0,Canada,CA,,20-34,H
1792417.jacques.guivarch,Jacques GUIVARCH,24:21:15,37.0,France,FR,,40-44,H
140937.pablo.villa,Pablo VILLA,24:22:21,38.0,Espagne,ES,,35-39,H
26913.guillaume.beauxis,Guillaume BEAUXIS,24:35:10,39.0,France,FR,,35-39,H
1053595.blandine.lhirondel,Blandine L HIRONDEL,24:35:54,40.0,France,FR,,20-34,F
1071755.marco.bonfante,Marco BONFANTE,24:36:05,41.0,Italie,IT,,35-39,H
4162981.juste.raimbault,Juste RAIMBAULT,24:40:18,42.0,France,FR,,35-39,H
585784.benoit.gaillard,Benoit GAILLARD,24:41:43,43.0,France,FR,,40-44,H
676095.hallvard.schjolberg,Hallvard SCHJOLBERG,24:42:25,44.0,Norvège,NO,,45-49,H
1996275.bernhard.mackner,Bernhard MACKNER,24:43:19,45.0,Autriche,AT,,35-39,H
1030827.drew.holmen,Drew HOLMEN,24:46:29,46.0,Etats-Unis,US,,20-34,H
685075.vincent.chessex,Vincent CHESSEX,24:53:17,47.0,Suisse,CH,,20-34,H
758585.alexandre.boucheix,Alexandre BOUCHEIX,24:54:26,48.0,France,FR,,20-34,H
3775841.michal.jurek,Michał JUREK,24:55:57,49.0,Pologne,PL,,40-44,H
1878369.emily.hawgood,Emily HAWGOOD,24:58:19,50.0,Zimbabwe,ZW,,20-34,F
3409741.gvido.kalnins,Gvido KALNINS,25:04:07,51.0,Lettonie,LV,,20-34,H
544466.douglas.pickard,Douglas PICKARD,25:09:38,52.0,Afrique du Sud,ZA,,40-44,H
124448.javier.dominguezledo,Javier DOMINGUEZ LEDO,25:16:46,53.0,Espagne,ES,,50-54,H
2621861.antoine.laine,Antoine LAINE,25:28:45,54.0,France,FR,,20-34,H
3323405.tobias.fritz,Tobias FRITZ,25:31:29,55.0,Allemagne,DE,,35-39,H
483224.jeff.mogavero,Jeff MOGAVERO,25:31:48,56.0,Etats-Unis,US,,20-34,H
580454.sabrina.stanley,Sabrina STANLEY,25:32:10,57.0,Etats-Unis,US,,20-34,F
2474.patrick.bohard,Patrick BOHARD,25:34:16,58.0,France,FR,,60-64,H
797482.claudia.tremps,Claudia TREMPS,25:39:37,59.0,Espagne,ES,,20-34,F
707921.kevin.jan,Kevin JAN,25:39:40,60.0,France,FR,,20-34,H
1574529.tomasz.kik,Tomasz KIK,25:40:59,61.0,Slovaquie,SK,,40-44,H
4102735.tomas.stverak,Tomáš STVERAK,25:41:22,62.0,République tchèque,CZ,,20-34,H
360942.martina.valmassoi,Martina VALMASSOI,25:42:02,63.0,Italie,IT,,35-39,F
2236015.fabien.feutrier,Fabien FEUTRIER,25:43:03,64.0,France,FR,,20-34,H
525706.christophe.polaszek,Christophe POLASZEK,25:45:56,65.0,France,FR,,45-49,H
1309837.xiao.lin,Xiao LIN,25:50:50,66.0,Chine,CN,,35-39,H
211181.lucy.bartholomew,Lucy BARTHOLOMEW,25:55:31,67.0,Australie,AU,,20-34,F
415485.robert.hajnal,Robert HAJNAL,26:00:01,68.0,Roumanie,RO,,35-39,H
29992.mathieu.gobaille,Mathieu GOBAILLE,26:07:23,69.0,France,FR,,45-49,H
1070439.daan.nieuwenhuis,Daan NIEUWENHUIS,26:15:09,70.0,Pays-Bas,NL,,20-34,H
347782.jeremy.goguet,Jeremy GOGUET,26:15:18,71.0,France,FR,,35-39,H
3999703.maximilian.kopf,Maximilian KOPF,26:18:15,72.0,Autriche,AT,,20-34,H
125515.jesus.alvarezmorales,Jesús ALVAREZ MORALES,26:18:30,73.0,Espagne,ES,,45-49,H
3344351.alexandros.karykas,Alexandros KARYKAS,26:22:50,74.0,Grèce,GR,,20-34,H
2196387.alyssa.clark,Alyssa CLARK,26:25:13,75.0,Etats-Unis,US,,20-34,F
410687.arnaud.colloud,Arnaud COLLOUD,26:26:03,76.0,France,FR,,35-39,H
3169375.takuya.ikehata,Takuya IKEHATA,26:28:52,77.0,Japon,JP,,20-34,H
725774.fabien.contre,Fabien CONTRE,26:30:17,78.0,France,FR,,35-39,H
1583491.matthew.crehan,Matthew CREHAN,26:30:27,79.0,Australie,AU,,35-39,H
460526.pierrearnaud.bourguenolle,Pierre-Arnaud BOURGUENOLLE,26:37:53,80.0,France,FR,,35-39,H
968119.helio.fumo,Helio FUMO,26:41:50,81.0,Portugal,PT,,40-44,H
1384077.diego.tales,Diego TALES,26:48:41,82.0,Brésil,BR,,35-39,H
63502.maite.maioraelizondo,Maite MAIORA ELIZONDO,26:50:35,83.0,Espagne,ES,,40-44,F
599775.daniel.perezfernandez,Daniel PEREZ-FERNANDEZ,26:51:33,84.0,Espagne,ES,,45-49,H
336000.arnaud.gallay,Arnaud GALLAY,26:52:30,85.0,France,FR,,35-39,H
6955.renaud.rouanet,Renaud ROUANET,26:55:32,86.0,France,FR,,45-49,H
967871.michael.nanaszko,Michael NANASZKO,26:58:10,87.0,Etats-Unis,US,,40-44,H
1244521.eszter.csillag,Eszter CSILLAG,27:01:09,88.0,Hongrie,HU,,35-39,F
4217537.mariklakegg.fenre,Mari Klakegg FENRE,27:05:54,89.0,Norvège,NO,,35-39,F
1244461.lodewijk.vriens,Lodewijk VRIENS,27:06:52,90.0,Pays-Bas,NL,,20-34,H
1100295.florent.cuny,Florent CUNY,27:07:22,91.0,France,FR,,35-39,H
2417843.pacome.thibaultlopez,Pacome THIBAULT LOPEZ,27:09:09,92.0,France,FR,,20-34,H
1438743.oleksii.melnyk,Oleksii MELNYK,27:11:24,93.0,Ukraine,UA,,35-39,H
304050.alexis.crellin,Alexis CRELLIN,27:12:25,94.0,Etats-Unis,US,,35-39,F
1039833.maryline.nakache,Maryline NAKACHE,27:16:18,95.0,France,FR,,40-44,F
4250558.javier.canterocuesta,Javier CANTERO CUESTA,27:18:18,96.0,Espagne,ES,,20-34,H
385881.edouard.perona,Edouard PERONA,27:19:52,97.0,France,FR,,40-44,H
3222463.marcantoine.brochard,Marc-Antoine BROCHARD,27:23:41,98.0,France,FR,,35-39,H
351448.volker.sauerzapf,Volker SAUERZAPF,27:25:02,99.0,Autriche,AT,,45-49,H
734658.kevin.michaud,Kevin MICHAUD,27:26:37,100.0,France,FR,,20-34,H
326944.florent.ghirard,Florent GHIRARD,27:27:21,101.0,France,FR,,40-44,H
3271103.simon.cochrane,Simon COCHRANE,27:30:04,102.0,Nouvelle-Zélande,NZ,,40-44,H
263680.remi.delille,Remi DELILLE,27:32:27,103.0,France,FR,,40-44,H
3421721.johanna.antila,Johanna ANTILA,27:33:13,104.0,Finlande,FI,,40-44,F
672897.roberto.mastrotto,Roberto MASTROTTO,27:35:11,105.0,Italie,IT,,35-39,H
552976.johan.fernandez,Johan FERNANDEZ,27:36:54,106.0,France,FR,,45-49,H
2543483.joe.miller,Joe MILLER,27:38:19,107.0,Etats-Unis,US,,35-39,H
3695215.benoit.guillaume,Benoit GUILLAUME,27:41:04,108.0,France,FR,,35-39,H
