runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
485740.jim.walmsley,Jim WALMSLEY,19:37:43,1.0,Etats-Unis,US,,20-34,H
369191.zach.miller,Zach MILLER,19:58:58,2.0,Etats-Unis,US,,35-39,H
481015.germain.grangier,Germain GRANGIER,20:10:52,3.0,France,FR,,20-34,H
1064397.mathieu.blanchard,Mathieu BLANCHARD,20:54:25,4.0,France,FR,,35-39,H
7829.ludovic.pommeret,Ludovic POMMERET,21:00:54,5.0,France,FR,,45-49,H
154454.thibaut.garrivier,Thibaut GARRIVIER,21:10:38,6.0,France,FR,,20-34,H
514316.tyler.green,Tyler GREEN,21:19:21,7.0,Etats-Unis,US,,35-39,H
1008473.hannes.namberger,Hannes NAMBERGER,21:20:46,8.0,Allemagne,DE,,20-34,H
1440463.arthur.joyeuxbouillon,Arthur JOYEUX-BOUILLON,21:31:22,9.0,France,FR,,20-34,H
1250019.baptiste.chassagne,Baptiste CHASSAGNE,21:38:11,10.0,France,FR,,20-34,H
243895.joaquin.lopez,Joaquin LOPEZ,21:47:12,11.0,Equateur,EC,,20-34,H
4548888.daniel.jones,Daniel JONES,21:55:59,12.0,Nouvelle-Zélande,NZ,,20-34,H
439618.santosgabriel.rueda,Santos Gabriel RUEDA,21:59:01,13.0,Argentine,AR,,20-34,H
1023247.ji.duo,Ji DUO,22:07:10,14.0,Chine,CN,,20-34,H
171215.scott.hawker,Scott HAWKER,22:13:58,15.0,Nouvelle-Zélande,NZ,,35-39,H
1524473.tom.joly,Tom JOLY,22:25:20,16.0,Royaume-Uni,GB,,20-34,H
1261043.rod.farvard,Rod FARVARD,22:32:59,17.0,Etats-Unis,US,,20-34,H
669176.rauloctaviu.butaci,Raul Octaviu BUTACI,22:38:02,18.0,Roumanie,RO,,35-39,H
29769.yanqiao.yun,Yanqiao YUN,22:41:09,19.0,Chine,CN,,35-39,H
439612.sergiogustavo.pereyra,Sergio Gustavo PEREYRA,23:01:40,20.0,Argentine,AR,,20-34,H
758585.alexandre.boucheix,Alexandre BOUCHEIX,23:03:13,21.0,France,FR,,20-34,H
448424.ugo.ferrari,Ugo FERRARI,23:10:40,22.0,France,FR,,20-34,H
8931.rene.rovera,Rene ROVERA,23:17:35,23.0,France,FR,,55-59,H
42923.diego.pazos,Diego PAZOS,23:17:36,24.0,Suisse,CH,,35-39,H
30959.courtney.dauwalter,Courtney DAUWALTER,23:29:14,25.0,Etats-Unis,US,,35-39,F
136586.gediminas.grinius,Gediminas GRINIUS,23:31:32,26.0,Lituanie,LT,,40-44,H
171539.florian.grasel,Florian GRASEL,23:45:26,27.0,Autriche,AT,,40-44,H
41940.bastien.fleury,Bastien FLEURY,23:47:43,28.0,France,FR,,20-34,H
234340.canyon.woodward,Canyon WOODWARD,23:56:00,29.0,Etats-Unis,US,,20-34,H
107261.kamil.lesniak,Kamil LESNIAK,24:10:33,30.0,Pologne,PL,,20-34,H
1038803.katharina.hartmuth,Katharina HARTMUTH,24:10:52,31.0,Allemagne,DE,,20-34,F
1053595.blandine.lhirondel,Blandine L HIRONDEL,24:22:50,32.0,France,FR,,20-34,F
4197488.theo.leboudec,Théo LE BOUDEC,24:44:37,33.0,France,FR,,20-34,H
703560.clement.desille,Clement DESILLE,24:48:23,34.0,France,FR,,20-34,H
1127327.zairan.li,Zairan LI,24:50:18,35.0,Chine,CN,,35-39,H
989977.fuzhao.xiang,Fuzhao XIANG,24:50:33,36.0,Chine,CN,,20-34,F
3527137.adrian.macdonald,Adrian MACDONALD,24:53:46,37.0,Etats-Unis,US,,35-39,H
1210767.jiqian.wang,Jiqian WANG,24:58:38,38.0,Chine,CN,,35-39,H
1574529.tomasz.kik,Tomasz KIK,25:01:39,39.0,Slovaquie,SK,,40-44,H
63502.maite.maioraelizondo,Maite MAIORA ELIZONDO,25:02:26,40.0,Espagne,ES,,40-44,F
3453763.ethan.peters,Ethan PETERS,25:04:40,41.0,Canada,CA,,20-34,H
17438.ryan.sandes,Ryan SANDES,25:17:50,42.0,Afrique du Sud,ZA,,40-44,H
558620.kensuke.yoshimura,Kensuke YOSHIMURA,25:18:43,43.0,Japon,JP,,35-39,H
1099697.katarzyna.dombrowska,Katarzyna DOMBROWSKA,25:20:23,44.0,Pologne,PL,,20-34,F
674350.ales.sedlak,Ales SEDLAK,25:27:06,45.0,République tchèque,CZ,,35-39,H
4180173.gerhard.kaufmann,Gerhard KAUFMANN,25:28:05,46.0,Autriche,AT,,35-39,H
1027753.hayato.nishikata,Hayato NISHIKATA,25:35:07,47.0,Japon,JP,,20-34,H
3034591.alexander.hutter,Alexander HUTTER,25:44:05,48.0,Autriche,AT,,20-34,H
748103.david.chew,David CHEW,25:46:06,49.0,Australie,AU,,35-39,H
1268099.ailsa.macdonald,Ailsa MACDONALD,25:48:54,50.0,Canada,CA,,40-44,F
423842.edouard.godineau,Edouard GODINEAU,25:50:49,51.0,France,FR,,40-44,H
757723.guillaume.perrot,Guillaume PERROT,25:54:28,52.0,France,FR,,20-34,H
3169375.takuya.ikehata,Takuya IKEHATA,25:56:26,53.0,Japon,JP,,20-34,H
599775.daniel.perezfernandez,Daniel PEREZ-FERNANDEZ,26:03:24,54.0,Espagne,ES,,40-44,H
1070577.gavin.byrne,Gavin BYRNE,26:08:16,55.0,Irlande,IE,,35-39,H
473502.patrick.duboz,Patrick DUBOZ,26:08:31,56.0,France,FR,,40-44,H
4295801.david.ryan,David RYAN,26:09:40,57.0,Irlande,IE,,35-39,H
2229093.vemund.ovstehage,Vemund OVSTEHAGE,26:13:36,58.0,Norvège,NO,,20-34,H
569222.arthur.caffier,Arthur CAFFIER,26:15:13,59.0,France,FR,,35-39,H
1539593.jeffrey.colt,Jeffrey COLT,26:15:44,60.0,Etats-Unis,US,,20-34,H
573565.cedric.golea,Cédric GOLEA,26:18:09,61.0,France,FR,,40-44,H
1041977.leah.yingling,Leah YINGLING,26:21:24,62.0,Etats-Unis,US,,20-34,F
206916.rafael.bethencourtguimera,Rafael BETHENCOURT GUIMERA,26:21:36,63.0,Espagne,ES,,45-49,H
524867.majell.backhausen,Majell BACKHAUSEN,26:23:06,64.0,Australie,AU,,35-39,H
29992.mathieu.gobaille,Mathieu GOBAILLE,26:29:29,65.0,France,FR,,40-44,H
1486113.matthieu.devillecavellin,Matthieu DEVILLE CAVELLIN,26:33:13,66.0,France,FR,,35-39,H
3775841.michal.jurek,Michał JUREK,26:42:56,67.0,Pologne,PL,,40-44,H
329275.yannik.zufferey,Yannik ZUFFEREY,26:45:44,68.0,Suisse,CH,,50-54,H
529591.timo.tollefson,Timo TOLLEFSON,26:49:27,69.0,Etats-Unis,US,,35-39,H
706045.augustin.segard,Augustin SEGARD,26:49:27,69.0,France,FR,,20-34,H
757636.patrick.arce,Patrick ARCE,26:50:06,71.0,France,FR,,35-39,H
580454.sabrina.stanley,Sabrina STANLEY,26:58:53,72.0,Etats-Unis,US,,20-34,F
3998634.jack.murrel,Jack MURREL,26:59:55,73.0,Etats-Unis,US,,20-34,H
541983.simone.tucci,Simone TUCCI,27:00:46,74.0,Italie,IT,,45-49,H
551623.magnus.rabe,Magnus RABE,27:02:56,75.0,Suède,SE,,40-44,H
690029.tobias.bruno,Tobias BRUNO,27:07:11,76.0,Suède,SE,,35-39,H
753040.efren.mirallorens,Efrén MIRA-LLORENS,27:07:50,77.0,Espagne,ES,,40-44,H
939661.jisu.kim,Jisu KIM,27:09:16,78.0,Corée du Sud,KR,,45-49,H
1309837.xiao.lin,Xiao LIN,27:09:23,79.0,Chine,CN,,35-39,H
548124.kamil.dabrowski,Kamil DABROWSKI,27:12:55,80.0,Pologne,PL,,35-39,H
1548503.borja.arias,Borja ARIAS,27:19:04,81.0,Espagne,ES,,45-49,H
9018.yann.guillerm,Yann GUILLERM,27:19:16,82.0,France,FR,,45-49,H
258686.florian.olivier,Florian OLIVIER,27:20:34,83.0,France,FR,,40-44,H
336000.arnaud.gallay,Arnaud GALLAY,27:21:02,84.0,France,FR,,35-39,H
50771.matthew.urbanski,Matthew URBANSKI,27:22:56,85.0,Etats-Unis,US,,40-44,H
150837.arturs.vadzis,Artūrs VADZIS,27:24:36,86.0,Lettonie,LV,,20-34,H
4162981.juste.raimbault,Juste RAIMBAULT,27:25:31,87.0,France,FR,,20-34,H
508315.tom.englund,Tom ENGLUND,27:27:19,88.0,Suède,SE,,45-49,H
306063.louischristophe.moissonnier,Louis Christophe MOISSONNIER,27:28:28,89.0,France,FR,,50-54,H
2098487.nicolas.beaumatin,Nicolas BEAUMATIN,27:28:49,90.0,France,FR,,20-34,H
242886.anthony.chauvin,Anthony CHAUVIN,27:32:19,91.0,France,FR,,40-44,H
1802465.jeremie.marcuccilli,Jeremie MARCUCCILLI,27:32:46,92.0,France,FR,,40-44,H
1966633.hugo.hayacalderon,Hugo HAYA CALDERON,27:36:59,93.0,Espagne,ES,,35-39,H
3302955.tony.pailler,Tony PAILLER,27:37:21,94.0,France,FR,,40-44,H
211181.lucy.bartholomew,Lucy BARTHOLOMEW,27:39:23,95.0,Australie,AU,,20-34,F
4220636.baptiste.carimentrand,Baptiste CARIMENTRAND,27:40:25,96.0,France,FR,,45-49,H
355925.sebastien.robert,Sebastien ROBERT,27:40:32,97.0,France,FR,,20-34,H
3821623.nicholas.bamford,Nicholas BAMFORD,27:44:55,98.0,Royaume-Uni,GB,,35-39,H
5963.sebastien.buffard,Sebastien BUFFARD,27:49:13,99.0,France,FR,,40-44,H
764513.jeangregoire.luisier,Jean-Gregoire LUISIER,27:51:12,100.0,Suisse,CH,,20-34,H
1278085.mathias.thenaisie,Mathias THENAISIE,27:58:07,101.0,France,FR,,20-34,H
4203611.omar.elsawy,Omar EL SAWY,27:58:47,102.0,Egypte,EG,,20-34,H
135216.david.perez,David PEREZ,28:01:54,103.0,France,FR,,40-44,H
30306.florian.brunel,Florian BRUNEL,28:01:55,104.0,France,FR,,40-44,H
228351.moises.vidal,Moises VIDAL,28:04:41,105.0,Espagne,ES,,45-49,H
830156.claire.heslop,Claire HESLOP,28:05:39,106.0,Canada,CA,,40-44,F
967871.michael.nanaszko,Michael NANASZKO,28:05:47,107.0,Etats-Unis,US,,40-44,H
2371707.marc.masramon,Marc MASRAMON,28:08:48,108.0,Espagne,ES,,45-49,H
13099.toni.contesti,Toni CONTESTI,28:09:28,109.0,Espagne,ES,,50-54,H
482520.marc.soleametller,Marc SOLE AMETLLER,28:10:06,110.0,Espagne,ES,,35-39,H
575039.anthony.lee,Anthony LEE,28:18:02,111.0,Etats-Unis,US,,20-34,H
707921.kevin.jan,Kevin JAN,28:20:49,112.0,France,FR,,20-34,H
2050519.martina.klancnikpotrc,Martina KLANCNIK POTRČ,28:21:05,113.0,Slovénie,SI,,20-34,F
757736.julien.aussel,Julien AUSSEL,28:23:40,114.0,France,FR,,20-34,H
1889535.leivo.sepp,Leivo SEPP,28:25:39,115.0,Estonie,EE,,50-54,H
972671.massimiliano.calcinoni,Massimiliano CALCINONI,28:27:19,116.0,Italie,IT,,40-44,H
1915897.manuel.mederle,Manuel MEDERLE,28:29:27,117.0,Italie,IT,,20-34,H
715056.michele.ciabarri,Michele CIABARRI,28:29:49,118.0,Italie,IT,,40-44,H
460527.gael.ninot,Gaël NINOT,28:30:09,119.0,France,FR,,45-49,H
20837.emily.vaudan,Emily VAUDAN,28:34:53,120.0,Suisse,CH,,40-44,F
84398.julien.gonthier,Julien GONTHIER,28:40:03,121.0,France,FR,,40-44,H
243762.victor.debilcaux,Victor DEBIL-CAUX,28:46:41,122.0,France,FR,,40-44,H
3323483.sebastian.pleintinger,Sebastian PLEINTINGER,28:47:11,123.0,Allemagne,DE,,35-39,H
43472.julien.lagneau,Julien LAGNEAU,28:50:03,124.0,France,FR,,40-44,H
491412.pere.montserratlope,Pere MONTSERRAT LOPE,28:50:49,125.0,Espagne,ES,,35-39,H
2190595.raul.garciamendoza,Raul GARCIA MENDOZA,28:50:57,126.0,Espagne,ES,,40-44,H
996367.nicolas.boivin,Nicolas BOIVIN,28:51:45,127.0,France,FR,,35-39,H
41731.aline.coquard,Aline COQUARD,28:52:26,128.0,France,FR,,35-39,F
664800.kimino.miyazaki,Kimino MIYAZAKI,28:53:08,129.0,Japon,JP,,35-39,F
2030259.renan.gossiaux,Renan GOSSIAUX,28:54:50,130.0,Belgique,BE,,35-39,H
1994289.aaronadasat.hernandezgrillo,Aaron Adasat HERNANDEZ GRILLO,28:55:35,131.0,Espagne,ES,,40-44,H
982379.filippo.dallavalle,Filippo DALLA VALLE,28:58:50,132.0,Italie,IT,,20-34,H
1948347.raul.gomezcalderon,Raul GOMEZ CALDERON,29:01:43,133.0,Espagne,ES,,35-39,H
1916341.kevin.didier,Kevin DIDIER,29:05:10,134.0,France,FR,,20-34,H
1662077.jacopo.fiaschi,JACOPO FIASCHI,29:10:03,135.0,Italie,IT,,40-44,H
161440.adam.steidler,Adam STEIDLER,29:10:11,136.0,Etats-Unis,US,,40-44,H
1862473.stefan.pracht,Stefan PRACHT,29:10:50,137.0,Allemagne,DE,,55-59,H
1157897.claire.bannwarth,Claire BANNWARTH,29:12:40,138.0,France,FR,,20-34,F
569465.michal.lesniak,Michal LESNIAK,29:13:27,139.0,Pologne,PL,,35-39,H
1723721.manyee.cheung,Man Yee CHEUNG,29:14:31,140.0,"Hong Kong, Chine",HK,,20-34,F
481160.christophe.grifgnee,Christophe GRIFGNEE,29:15:39,141.0,Belgique,BE,,35-39,H
10656.yann.coutty,Yann COUTTY,29:18:51,142.0,France,FR,,45-49,H
405110.shane.johnstone,Shane JOHNSTONE,29:19:54,143.0,Australie,AU,,35-39,H
1939295.romain.adam,Romain ADAM,29:24:06,144.0,France,FR,,20-34,H
1456303.luke.barrett,Luke BARRETT,29:25:37,145.0,Australie,AU,,35-39,H
578703.henri.lehkonen,Henri LEHKONEN,29:26:18,146.0,Australie,AU,,35-39,H
2432893.katie.wright,Katie WRIGHT,29:26:54,147.0,Nouvelle-Zélande,NZ,,35-39,F
2075623.benn.coubrough,Benn COUBROUGH,29:28:18,148.0,Australie,AU,,40-44,H
4040435.samuel.antoine,Samuel ANTOINE,29:29:55,149.0,Suisse,CH,,35-39,H
967683.matt.daniels,Matt DANIELS,29:29:57,150.0,Etats-Unis,US,,35-39,H
610967.amanda.basham,Amanda BASHAM,29:29:57,150.0,Etats-Unis,US,,20-34,F
317827.philippe.robin,Philippe ROBIN,29:30:39,152.0,France,FR,,35-39,H
723810.lucas.hernandezsesma,Lucas HERNÁNDEZ SESMA,29:31:36,153.0,Espagne,ES,,40-44,H
1283323.giorgos.ioannou,Giorgos IOANNOU,29:31:54,154.0,Grèce,GR,,35-39,H
2031523.romain.leblanc,Romain LEBLANC,29:34:06,155.0,France,FR,,35-39,H
1582045.felix.kuschmierz,Felix KUSCHMIERZ,29:34:29,156.0,Allemagne,DE,,20-34,H
1093491.remi.ferrieres,Rémi FERRIERES,29:34:32,157.0,France,FR,,20-34,H
1969203.julien.mettetal,Julien METTETAL,29:36:00,158.0,France,FR,,50-54,H
2236185.moritz.dammann,Moritz DAMMANN,29:37:10,159.0,Allemagne,DE,,35-39,H
4119140.esteban.sanchezgarcia,Esteban SÁNCHEZ GARCÍA,29:37:59,160.0,Espagne,ES,,35-39,H
304050.alexis.crellin,Alexis CRELLIN,29:38:23,161.0,Etats-Unis,US,,35-39,F
1334709.emmanuel.guillome,Emmanuel GUILLOME,29:39:39,162.0,France,FR,,40-44,H
578256.olivier.guillome,Olivier GUILLOME,29:39:42,163.0,France,FR,,40-44,H
2086247.alexis.baron,Alexis BARON,29:39:49,164.0,France,FR,,20-34,H
3109957.guillaume.bour,Guillaume BOUR,29:39:57,165.0,France,FR,,20-34,H
1336027.rongrong.chen,Rong Rong CHEN,29:46:01,166.0,Chine,CN,,35-39,F
3616069.jorge.gari,Jorge GARI,29:46:55,167.0,Espagne,ES,,35-39,H
264621.cristian.guerraperez,Cristian GUERRA-PEREZ,29:53:59,168.0,Espagne,ES,,40-44,H
498840.dario.trovatelli,Dario TROVATELLI,29:55:41,169.0,Suisse,CH,,20-34,H
1038355.alexandre.verna,Alexandre VERNA,29:57:04,170.0,Suisse,CH,,40-44,H
13399.jordi.pinyol,Jordi PINYOL,29:57:27,171.0,Espagne,ES,,45-49,H
345700.hanspeter.luthi,Hanspeter LÜTHI,29:58:57,172.0,Suisse,CH,,55-59,H
2293511.julien.zimmer,Julien ZIMMER,30:08:13,173.0,France,FR,,20-34,H
2566493.adrian.busolini,Adrian BUSOLINI,30:21:21,174.0,Royaume-Uni,GB,,35-39,H
815330.dave.ward,Dave WARD,30:23:18,175.0,Royaume-Uni,GB,,40-44,H
1038789.patrick.gieschke,Patrick GIESCHKE,30:27:25,176.0,Suisse,CH,,45-49,H
1434547.hector.fuentesrivera,Hector FUENTES RIVERA,30:29:10,177.0,Salvador,SV,,40-44,H
552784.eric.mougin,Eric MOUGIN,30:31:06,178.0,France,FR,,50-54,H
1398751.philip.howland,Philip HOWLAND,30:31:24,179.0,Etats-Unis,US,,50-54,H
1508351.damien.cochet,Damien COCHET,30:33:06,180.0,France,FR,,35-39,H
196238.guillaume.quere,Guillaume QUERE,30:36:08,181.0,France,FR,,35-39,H
1910675.daniel.santos,Daniel SANTOS,30:37:42,182.0,Portugal,PT,,45-49,H
227691.romain.demare,Romain DEMARE,30:39:20,183.0,France,FR,,35-39,H
371353.daniel.massat,Daniel MASSAT,30:40:35,184.0,France,FR,,45-49,H
6334.pierre.marron,Pierre MARRON,30:41:51,185.0,France,FR,,40-44,H
1097519.kakit.wong,Ka Kit WONG,30:42:53,186.0,"Hong Kong, Chine",HK,,35-39,H
4184512.samuel.frigon,Samuel FRIGON,30:43:21,187.0,Canada,CA,,20-34,H
1053929.william.weidman,William WEIDMAN,30:47:06,188.0,Etats-Unis,US,,40-44,H
696265.elisabeth.borgersen,Elisabeth BORGERSEN,30:48:02,189.0,Norvège,NO,,40-44,F
317296.francois.lebettre,Francois LEBETTRE,30:56:22,190.0,France,FR,,45-49,H
